Index1,Corr_Value1,Index2,Corr_Value2
1,0.6173526140155728,1.0,0.832258064516129
2,0.6694104560622914,2.0,0.8220244716351501
3,0.7993325917686318,3.0,0.8006674082313682
4,0.7748609566184649,4.0,0.7993325917686318
5,0.7121245828698554,5.0,0.6969966629588431
6,0.6369299221357063,6.0,0.7957730812013347
7,0.8011123470522803,7.0,0.5715239154616241
8,0.7027808676307008,8.0,0.7276974416017797
9,0.8095661846496106,9.0,0.42246941045606223
10,0.6355951056729701,10.0,0.8318131256952168
11,0.6373748609566184,11.0,0.6845383759733037
12,0.8135706340378197,12.0,0.8424916573971077
13,0.6614015572858732,13.0,0.6427141268075639
14,0.7548387096774194,14.0,0.7833147942157953
15,0.7508342602892103,15.0,0.6987764182424916
16,0.8438264738598443,16.0,0.5968854282536151
17,0.8607341490545051,17.0,0.7517241379310345
18,0.8829810901001112,18.0,0.7281423804226919
19,0.8674082313681868,19.0,0.5377085650723026
20,0.7971078976640712,20.0,0.681868743047831
21,0.7957730812013347,21.0,0.7793103448275861
22,0.72146829810901,22.0,0.8820912124582869
23,0.8621648735072492,23.0,0.6266963292547274
24,0.5630700778642936,24.0,0.5790878754171301
25,0.6774193548387096,25.0,0.725027808676307
26,0.8798665183537263,26.0,0.6545778213827941
27,0.6934371523915461,27.0,0.6404894327030033
28,0.6872080088987764,28.0,0.5337041156840934
29,0.6987764182424916,29.0,0.7935483870967741
30,0.7517241379310345,30.0,0.5452725250278087
31,0.7085650723025584,31.0,0.8816462736373749
32,0.7317018909899888,32.0,0.8255839822024471
33,0.8171301446051168,33.0,0.6378197997775306
34,0.5888765294771968,34.0,0.5915461624026696
35,0.725027808676307,35.0,0.8705228031145716
36,0.6160177975528365,36.0,0.7517241379310345
37,0.6040044493882092,37.0,0.7437152391546161
38,0.6783092324805339,38.0,0.7579532814238041
39,0.8847608453837598,39.0,0.793103448275862
40,0.8763070077864292,40.0,0.560845383759733
41,0.7263626251390434,41.0,0.7156840934371523
42,0.646718576195773,42.0,0.5924360400444939
43,0.7748609566184649,43.0,0.7486095661846496
44,0.6476084538375974,44.0,0.8011123470522803
45,0.8705228031145716,45.0,0.8282536151279198
46,0.8527252502780869,46.0,0.582202447163515
47,0.8011123470522803,47.0,0.7081201334816463
48,0.5684093437152391,48.0,0.7761957730812012
49,0.6872080088987764,49.0,0.7601779755283649
50,0.5181312569521691,50.0,0.5973303670745272
51,0.7317018909899888,51.0,0.7637374860956618
52,0.8714126807563959,52.0,0.73615127919911
53,0.8358175750834261,53.0,0.7721913236929923
54,0.5448275862068965,54.0,0.8028921023359289
55,0.5119021134593993,55.0,0.47541713014460507
56,0.8126807563959955,56.0,0.5808676307007786
57,0.4705228031145718,57.0,0.803781979977753
58,0.7680498434443933,58.0,0.6858731924360401
59,0.7904338153503893,59.0,0.9110122358175751
60,0.7953281423804226,60.0,0.6605116796440489
61,0.8518353726362626,61.0,0.6395995550611792
62,0.8193548387096774,62.0,0.8264738598442714
63,0.7303670745272525,63.0,0.6458286985539488
64,0.7330367074527252,64.0,0.5248053392658508
65,0.8024471635150167,65.0,0.8171301446051168
66,0.5759733036707452,66.0,0.7873192436040044
67,0.657842046718576,67.0,0.6614015572858732
68,0.8064516129032258,68.0,0.6756395995550611
69,0.8335928809788653,69.0,0.789098998887653
70,0.6814238042269187,70.0,0.643008125015729
71,0.4825361512791991,71.0,0.3984427141268076
72,0.6280311457174638,72.0,0.7432703003337041
73,0.7503893214682981,73.0,0.5617352614015573
74,0.8705228031145716,74.0,0.6342602892102336
75,0.8076538040855006,75.0,0.7868743047830923
76,0.689432703003337,76.0,0.7419354838709676
