Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.837397853349122,1.0,0.5526761516757741,1.0,0.481613232534321
2,0.7163986269077677,2.0,0.3949616714652815,2.0,0.5443152263227946
3,0.7840816696209407,3.0,0.7846969439115458,3.0,0.45489823472568447
4,0.8748165717528317,4.0,0.5476042568240336,4.0,0.41438353234416386
5,0.4792716013447817,5.0,0.819084895654075,5.0,0.47356898254145247
6,0.8587583186722583,6.0,0.7227297880747183,6.0,0.41230608131911317
7,0.7409838728075324,7.0,0.5916745926163635,7.0,0.44006344529217867
8,0.7940975521301293,8.0,0.4376667913301515,8.0,0.43369690333856525
9,0.8427772867347046,9.0,0.5370505542561466,9.0,0.3989790799116838
10,0.8659418384964201,10.0,0.49484454823038193,10.0,0.41746267954731786
11,0.8347155740221669,11.0,0.6516701459959409,11.0,0.4304947681077093
12,0.7866414064217309,12.0,0.3680220424562808,12.0,0.4596874235357657
13,0.6560440605278545,13.0,0.8059656933356307,13.0,0.4413334939755352
14,0.7714898227315297,14.0,0.6478400580457894,14.0,0.4923103835264947
15,0.7463885922264005,15.0,0.5176269821351873,15.0,0.3925424880715296
16,0.6832540792117053,16.0,0.6041445721628357,16.0,0.4419675437318873
17,0.7929261328522927,17.0,0.5422836809397951,17.0,0.46665283409884506
18,0.7165664167255441,18.0,0.6321011939295406,18.0,0.4487014408447908
19,0.7252215480492571,19.0,0.5351548762406318,19.0,0.5054856002273774
20,0.7664488651184017,20.0,0.4441870571108992,20.0,0.4153366971051674
21,0.6157563385340605,21.0,0.4085458037562302,21.0,0.6641532352639551
22,0.8036825658156072,22.0,0.48633279178010025,22.0,0.5814235943990087
23,0.7939087761076903,23.0,0.5217395657562116,23.0,0.471213360383954
24,0.5535172975216586,24.0,0.6687173028020139,24.0,0.5711243098428713
25,0.7487141446526357,25.0,0.5717606012672142,25.0,0.6236857698189803
26,0.8863767328522454,26.0,0.5406957811005142,26.0,0.3992826532307037
27,0.6762208563565282,27.0,0.628234983429267,27.0,0.5887755987103156
28,0.5101510182344452,28.0,0.5575290127510436,28.0,0.4654085544776826
29,0.6224546309867967,29.0,0.511664135593375,29.0,0.4674630799778684
30,0.8084499792347771,30.0,0.42516105893716916,30.0,0.5329360751932225
31,0.5205802807630598,31.0,0.531200816150332,31.0,0.45488024936760746
32,0.7739432546435069,32.0,0.5118092347895482,32.0,0.38607701134508554
33,0.6311326192516379,33.0,0.40619246297884143,33.0,0.4413559197330958
34,0.6674528679621984,34.0,0.5690849542202723,34.0,0.5254749432142296
35,0.8298648619333591,35.0,0.5433844881244949,35.0,0.42719848079376593
36,0.6678474131998765,36.0,0.4813441123333515,36.0,0.3660104469889059
37,0.7780263415888109,37.0,0.5647010276398788,37.0,0.583137236184824
38,0.8043380289841003,38.0,0.7120157174964739,38.0,0.6748073780206623
39,0.7209070272607797,39.0,0.4647945556331184,39.0,0.5502737411310196
40,0.8543857581887336,40.0,0.6102040356315386,40.0,0.43437070152168283
41,0.8154456729129579,41.0,0.41947224407593237,41.0,0.369692897209854
42,0.8878720045235555,42.0,0.37827146474344453,42.0,0.580029752470265
43,0.8011317800417328,43.0,0.46585840679788965,43.0,0.5154702269914738
44,0.773262541390561,44.0,0.7645805002728697,44.0,0.4344385505904175
45,0.7423861973628912,45.0,0.6121870216940267,45.0,0.5117230577228067
46,0.7556054466182442,46.0,0.5930756035827478,46.0,0.43260731594497903
47,0.7855404060943559,47.0,0.3804120938747566,47.0,0.49953730685481085
48,0.8078613801995917,48.0,0.5876077120801984,48.0,0.4827751402529375
49,0.8949088489321358,49.0,0.44856378142101505,49.0,0.667236322917714
50,0.6304125175331188,50.0,0.56080116497883,50.0,0.4705044877616017
51,0.74119558966636,51.0,0.5270997825406168,51.0,0.5844875456990902
52,0.7904896189796792,52.0,0.41729918532530125,52.0,0.47429815621885907
53,0.591492962282279,53.0,0.712216802742172,53.0,0.6852717642758084
54,0.48803732568461766,54.0,0.40218283553332257,54.0,0.6054032383784289
55,0.6226196319779692,55.0,0.6446134614901826,55.0,0.4448314636403176
56,0.739974501893792,56.0,0.59189272900739,56.0,0.49401474169321774
57,0.8442069399495047,57.0,0.40417239434519675,57.0,0.4400254271647982
58,0.845626661536301,58.0,0.49428298115390884,58.0,0.3727055709997092
59,0.7310687592538031,59.0,0.561043283529705,59.0,0.5105971036120854
60,0.6482011584425799,60.0,0.49984941616832607,60.0,0.5577783838877339
61,0.7217085375621559,61.0,0.36606798219866865,61.0,0.4944681813312549
62,0.8400748327152067,62.0,0.5400175591357042,62.0,0.5144838141881629
63,0.7717491635745131,63.0,0.5994882526527796,63.0,0.42534718857487985
64,0.8507796140511171,64.0,0.5078031261780026,64.0,0.381774268018125
65,0.7661685293816956,65.0,0.5706741482620453,65.0,0.5783285522661044
66,0.7795313114255447,66.0,0.49225548938006175,66.0,0.5401573997268293
67,0.6607862537447691,67.0,0.5758196016086318,67.0,0.41463326430432407
68,0.693611797671445,68.0,0.6411675811985953,68.0,0.4880485938652248
69,0.6250552788729354,69.0,0.5653976061204524,69.0,0.5328724437525617
70,0.6472117997144019,70.0,0.47745095046933206,70.0,0.6671298142027199
71,0.6269169457846546,71.0,0.4967430048038325,71.0,0.5179554246506499
72,0.6633958136686555,72.0,0.6872931917231477,72.0,-0.5032365289972267
73,0.6992611545204579,73.0,0.5950648807332578,73.0,0.4408346698274335
74,0.7217182935982835,74.0,0.6864376888260266,74.0,0.7169231130402216
