Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.6369299221357063,1.0,0.47185761957730815,1.0,0.5145717463848721
2,0.7939933259176863,2.0,0.5038932146829811,2.0,0.5443826473859844
3,0.8384872080088988,3.0,0.5274749721913237,3.0,0.5470522803114571
4,0.7597330367074527,4.0,0.439377085650723,4.0,0.5047830923248053
5,0.7165739710789767,5.0,0.5897664071190212,5.0,0.4273637374860957
6,0.7081201334816463,6.0,0.5126265467253425,6.0,0.5230255839822024
7,0.760622914349277,7.0,0.48609566184649605,7.0,0.37486095661846497
8,0.7944382647385985,8.0,0.5879866518353727,8.0,0.38954393770856505
9,0.8015572858731924,9.0,0.5666295884315907,9.0,0.44338153503893213
10,0.8220244716351501,10.0,0.4117908787541713,10.0,0.4006674082313682
11,0.5426028921023358,11.0,0.42380422691879865,11.0,0.5105672969966629
12,0.7899888765294771,12.0,0.5314794215795328,12.0,0.41090100111234706
13,0.7984427141268076,13.0,0.513961511690773,13.0,0.5363737486095662
14,0.614238042269188,14.0,0.6378197997775306,14.0,0.39221357063403783
15,0.8171301446051168,15.0,0.4634037819799778,15.0,0.43492769744160176
16,0.7437152391546161,16.0,0.7423804226918799,16.0,0.4323061546386026
17,0.7504728047328908,17.0,0.5119021134593993,17.0,0.38731924360400444
18,0.7317018909899888,18.0,0.44293659621801995,18.0,0.5875417130144606
19,0.7312569521690767,19.0,0.5568409343715239,19.0,0.49543937708565067
20,0.8331479421579533,20.0,0.44783092324805335,20.0,0.5216907675194661
21,0.9181312569521689,21.0,0.5092324805339266,21.0,0.4197997775305895
22,0.6489432703003337,22.0,0.5025583982202447,22.0,0.4113459399332592
23,0.7223581757508343,23.0,0.5310344827586206,23.0,0.40734149054505003
24,0.832258064516129,24.0,0.4166852057842047,24.0,0.6315906562847609
25,0.6102335928809789,25.0,0.7592880978865406,25.0,0.40200222469410457
26,0.4883203559510568,26.0,0.49499443826473855,26.0,0.681868743047831
27,0.8202447163515018,27.0,0.49766407119021133,27.0,0.4291434927697442
28,0.611123470522803,28.0,0.592880978865406,28.0,0.5577308120133482
29,0.6778642936596218,29.0,0.4131256952169076,29.0,0.43270300333704115
30,0.7423804226918799,30.0,0.6171988023507379,30.0,0.3828698553948832
31,0.4264738598442714,31.0,0.5519466073414906,31.0,0.37842046718576194
32,0.7414905450500555,32.0,0.5595105672969966,32.0,0.37263626251390436
33,0.8687430478309233,33.0,0.4153503893214683,33.0,0.44649610678531704
34,0.8776418242491658,34.0,0.4067193261345165,34.0,0.442318391879332
35,0.6711902113459399,35.0,0.5844271412680757,35.0,0.4291434927697442
36,0.8558398220244716,36.0,0.4251390433815351,36.0,0.45317018909899887
37,0.6809788654060066,37.0,0.3846496106785317,37.0,0.5296996662958843
38,0.6048943270300334,38.0,0.621357063403782,38.0,0.432258064516129
39,0.6858731924360401,39.0,0.5443826473859844,39.0,0.611123470522803
40,0.8242491657397107,40.0,0.6191323692992213,40.0,0.43893214682981085
41,0.6031145717463848,41.0,0.48609566184649605,41.0,0.6017797552836485
42,0.7615127919911011,42.0,0.5006118620364673,42.0,0.41579532814238046
43,0.6191323692992213,43.0,0.7908787541713014,43.0,0.5670745272525028
44,0.6938820912124583,44.0,0.7873192436040044,44.0,0.4838709677419355
45,0.7325917686318131,45.0,0.5448275862068965,45.0,0.4509454949944383
46,0.8642936596218019,46.0,0.44560622914349274,46.0,0.3619577308120133
47,0.6769744160177975,47.0,0.38954393770856505,47.0,0.41490545050055616
48,0.6538375973303671,48.0,0.37486095661846497,48.0,0.5363737486095662
49,0.6863181312569522,49.0,0.450055617352614,49.0,0.4914349276974415
50,0.7325917686318131,50.0,0.45317018909899887,50.0,0.37263626251390436
51,0.6636262513904337,51.0,0.4887652947719689,51.0,0.49321468298109006
52,0.7472747497219132,52.0,0.37708565072302563,52.0,0.6222469410456063
53,0.9132369299221357,53.0,0.6565072302558399,53.0,0.6338153503893215
54,0.7926585094549499,54.0,0.5906562847608453,54.0,0.49410456062291436
55,0.8135706340378197,55.0,0.5515016685205784,55.0,0.5043381535038932
56,0.6244716351501668,56.0,0.3997775305895439,56.0,0.6827586206896552
57,0.5452725250278087,57.0,0.7499443826473859,57.0,0.4402669632925473
58,0.7303670745272525,58.0,0.4442714126807564,58.0,0.47363737486095664
59,0.8487208008898777,59.0,0.39532814238042263,59.0,0.4251390433815351
60,0.7686318131256953,60.0,0.4460511679644049,60.0,0.48787541713014465
61,0.8829810901001112,61.0,0.40160196043369933,61.0,0.7272525027808675
62,0.5523915461624027,62.0,0.6875069571967485,62.0,0.5230255839822024
63,0.6400444938820912,63.0,0.6565072302558399,63.0,0.46117908787541706
64,0.7352614015572858,64.0,0.521245828698554,64.0,0.418020022246941
65,0.6418242491657397,65.0,0.5292547274749722,65.0,0.5884315906562848
66,0.7632925472747497,66.0,0.8238042269187986,66.0,0.6240266963292548
67,0.7926585094549499,67.0,0.6080088987764182,67.0,0.7450500556173526
68,0.922135706340378,68.0,0.6458286985539488,68.0,0.49237957808297866
69,0.7704115684093437,69.0,0.6640711902113459,69.0,0.6418242491657397
70,0.7170189098998888,70.0,0.36462736373748605,70.0,0.6778642936596218
71,0.6631813125695216,71.0,0.5826473859844271,71.0,0.48120133481646277
72,0.8184649610678532,72.0,0.6347052280311457,72.0,0.4994438264738598
73,0.6680756395995551,73.0,0.47185761957730815,73.0,0.38020022246941043
74,0.6725250278086763,74.0,0.5557904139409313,74.0,0.4638487208008899
75,0.511012235817575,75.0,0.49276974416017794,75.0,0.4647385984427141
76,0.8082313681868742,76.0,0.42469410456062295,76.0,0.3730812013348164
