Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7437152391546161,1.0,0.6129032258064516,1.0,0.4091212458286986
2,0.7419354838709676,2.0,0.5764182424916573,2.0,0.3793103448275862
3,0.7334816462736374,3.0,0.4518856407982511,3.0,0.36240266963292544
4,0.5310344827586206,4.0,0.5488930949528733,4.0,0.6395995550611792
5,0.7766407119021135,5.0,0.6258064516129032,5.0,0.47630700778642937
6,0.6565072302558399,6.0,0.5123470522803114,6.0,0.5097341226335762
7,0.6582869855394883,7.0,0.439377085650723,7.0,0.49499443826473855
8,0.625361512791991,8.0,0.3686318131256952,8.0,0.39488320355951056
9,0.5617352614015573,9.0,0.7192436040044494,9.0,0.49766407119021133
10,0.37085650723025576,10.0,0.5274749721913237,10.0,0.6476805023947361
11,0.7601779755283649,11.0,0.4901001112347052,11.0,0.40867630700778645
12,0.6662958843159065,12.0,0.5047830923248053,12.0,0.6258064516129032
13,0.6622914349276974,13.0,0.4117908787541713,13.0,0.4189098998887653
14,0.5345939933259177,14.0,0.39114473487115975,14.0,0.38598442714126807
15,0.47230255839822033,15.0,0.48031145717463847,15.0,0.3619577308120133
16,0.46607341490545046,16.0,0.4629588431590656,16.0,0.3899888765294772
17,0.7650723025583982,17.0,0.4905450500556173,17.0,0.5906562847608453
18,0.6373748609566184,18.0,0.46073414905450494,18.0,0.3882091212458286
19,0.5541713014460512,19.0,0.5986651835372636,19.0,0.3979977753058954
20,0.8086763070077864,20.0,0.42869855394883205,20.0,0.5661846496106785
21,0.5799777530589544,21.0,0.6342602892102336,21.0,0.47630700778642937
22,0.6387096774193549,22.0,0.4558398220244716,22.0,0.47185761957730815
23,0.6191323692992213,23.0,0.49454949944382637,23.0,0.5256952169076751
24,0.7717463848720801,24.0,0.44249165739710794,24.0,0.7628476084538376
25,0.7957730812013347,25.0,0.5915461624026696,25.0,0.582202447163515
26,0.7130144605116796,26.0,0.46785317018909905,26.0,0.5265850945494994
27,0.5243604004449388,27.0,0.3882091212458286,27.0,0.4309232480533926
28,0.7659621802002224,28.0,0.41935483870967744,28.0,0.49187986651835364
29,0.8269187986651836,29.0,0.5443826473859844,29.0,0.43359288097886545
30,0.47141268075639603,30.0,0.6302558398220245,30.0,0.3890989988876529
31,0.6480533926585095,31.0,0.592880978865406,31.0,0.42602892102335926
32,0.5501668520578421,32.0,0.4264738598442714,32.0,0.5304260795977502
33,0.5568409343715239,33.0,0.5016685205784205,33.0,0.5755283648498332
34,0.7147942157953281,34.0,0.5328142380422692,34.0,0.44160177975528364
35,0.7508342602892103,35.0,0.43804226918798667,35.0,0.4206896551724138
36,0.6355951056729701,36.0,0.3810901001112347,36.0,0.6596218020022246
37,0.7294771968854282,37.0,0.46785317018909905,37.0,0.4064516129032258
38,0.8963292547274748,38.0,0.5675194660734149,38.0,0.5639599555061179
39,0.875417130144605,39.0,0.4420467185761958,39.0,0.37085650723025576
40,0.8344827586206897,40.0,0.5403781979977753,40.0,0.37486095661846497
41,0.5448275862068965,41.0,0.6898776418242492,41.0,0.4082313681868743
42,0.6048943270300334,42.0,0.4909899888765294,42.0,0.4264738598442714
43,0.7312569521690767,43.0,0.4636778313262212,43.0,0.6062291434927697
44,0.5296996662958843,44.0,0.4758620689655172,44.0,0.5154616240266964
45,0.5030033370411569,45.0,0.43564356705217916,45.0,0.42869855394883205
46,0.7045606229143493,46.0,0.5461624026696329,46.0,0.6133481646273637
47,0.8367074527252502,47.0,0.4162402669632926,47.0,0.4825361512791991
48,0.6729699666295884,48.0,0.4100111234705228,48.0,0.4309232480533926
49,0.8055617352614016,49.0,0.47986651835372635,49.0,0.5065628476084539
50,0.710789766407119,50.0,0.47230255839822033,50.0,0.5706340378197998
51,0.5692992213570635,51.0,0.5826473859844271,51.0,0.5652947719688542
52,0.7530589543937708,52.0,0.5977753058954393,52.0,0.4006674082313682
53,0.7228031145717464,53.0,0.3997775305895439,53.0,0.36551724137931035
54,0.6921023359288097,54.0,0.6511679644048943,54.0,0.3837597330367074
55,0.5826473859844271,55.0,0.6048943270300334,55.0,0.6
56,0.5599555061179087,56.0,0.5488320355951056,56.0,0.3757508342602892
57,0.36151279199110126,57.0,0.4852057842046719,57.0,0.42246941045606223
58,0.6600667408231368,58.0,0.37486095661846497,58.0,0.45317018909899887
59,0.6898776418242492,59.0,0.3882091212458286,59.0,0.5230255839822024
60,0.757508342602892,60.0,0.560845383759733,60.0,0.4651835372636262
61,0.6916573971078976,61.0,0.4700778642936596,61.0,0.37130144605116794
62,0.7846496106785317,62.0,0.6106785317018909,62.0,0.49276974416017794
63,0.7441601779755282,63.0,0.47897664071190205,63.0,0.4602892102335928
64,0.7566184649610679,64.0,0.38242491657397104,64.0,0.3793103448275862
65,0.4994438264738598,65.0,0.48859717734759206,65.0,0.3721913236929922
66,0.5230255839822024,66.0,0.40556173526140155,66.0,0.5537263626251391
67,0.7672969966629588,67.0,0.39221357063403783,67.0,0.5706340378197998
68,0.8269187986651836,68.0,0.40200222469410457,68.0,0.5065628476084539
69,0.41090100111234706,69.0,0.4580645161290322,69.0,0.43270300333704115
70,0.5127919911012235,70.0,0.4509454949944383,70.0,0.364182424916574
71,0.5555061179087876,71.0,0.5059517218981896,71.0,0.4545050055617353
72,0.710789766407119,72.0,0.6124582869855395,72.0,0.5132369299221357
73,0.6992213570634038,73.0,0.4242491657397108,73.0,0.450055617352614
74,0.6115684093437151,74.0,0.5279199110122358,74.0,0.7837597330367074
75,0.6516129032258065,75.0,0.4674082313681869,75.0,0.41935483870967744
76,0.7632925472747497,76.0,0.5755283648498332,76.0,0.4273637374860957
77,0.8433815350389321,77.0,0.40289210233592887,77.0,0.5012235817575084
78,0.6854282536151279,78.0,0.4420467185761958,78.0,0.38731924360400444
79,0.7050055617352614,79.0,0.4398220244716351,79.0,0.418020022246941
80,0.828698553948832,80.0,0.44827586206896547,80.0,0.5194660734149055
81,0.5550611790878754,81.0,0.47274749721913245,81.0,0.5096774193548387
82,0.8051167964404894,82.0,0.546607341490545,82.0,0.5839822024471636
83,0.625361512791991,83.0,0.4602892102335928,83.0,0.6422691879866518
84,0.6418242491657397,84.0,0.47363737486095664,84.0,0.4674082313681869
85,0.7499443826473859,85.0,0.507007786429366,85.0,0.6476084538375974
86,0.8309232480533927,86.0,0.39443826473859844,86.0,0.5150166852057843
87,0.7241379310344827,87.0,0.38509454949944383,87.0,0.4513904338153503
