Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7170189098998888,1.0,0.4700778642936596,1.0,0.5626251390433815
2,0.49766407119021133,2.0,0.40155728587319245,2.0,0.4255839822024471
3,0.7543937708565073,3.0,0.4042269187986652,3.0,0.36106785317018913
4,0.6533926585094549,4.0,0.36778284797612465,4.0,0.47452725250278077
5,0.7490545050055617,5.0,0.453615127919911,5.0,0.4042269187986652
6,0.7766407119021135,6.0,0.42246941045606223,6.0,0.421579532814238
7,0.6400444938820912,7.0,0.5065628476084539,7.0,0.42602892102335926
8,0.8095661846496106,8.0,0.47185761957730815,8.0,0.4674082313681869
9,0.3935483870967742,9.0,0.4909899888765294,9.0,0.37174638487208006
10,0.7437152391546161,10.0,0.4852057842046719,10.0,0.3975528364849833
11,0.8411568409343715,11.0,0.6587319243604004,11.0,0.385539488320356
12,0.874972191323693,12.0,0.5541713014460512,12.0,0.37130144605116794
13,0.5826473859844271,13.0,0.37263626251390436,13.0,0.6943270300333704
14,0.585761957730812,14.0,0.6769744160177975,14.0,0.47141268075639603
15,0.8487208008898777,15.0,0.6186874304783093,15.0,0.4242491657397108
16,0.5968854282536151,16.0,0.47452725250278077,16.0,0.4362625139043382
17,0.5692992213570635,17.0,0.6293659621802001,17.0,0.39959951298555346
18,0.7170189098998888,18.0,0.37352614015572855,18.0,0.4202447163515017
19,0.8068965517241379,19.0,0.6271412680756396,19.0,0.3753058954393771
20,0.696551724137931,20.0,0.489210233592881,20.0,0.585761957730812
21,0.7165739710789767,21.0,0.560845383759733,21.0,0.6088987764182424
22,0.6449388209121245,22.0,0.535483870967742,22.0,0.5781979977753059
23,0.6832035595105673,23.0,0.4852057842046719,23.0,0.4131256952169076
24,0.7085650723025584,24.0,0.5394883203559511,24.0,0.3931034482758621
25,0.5016685205784205,25.0,0.5046167569327591,25.0,0.5274749721913237
26,0.6765294771968854,26.0,0.4838709677419355,26.0,0.49499443826473855
27,0.6320355951056729,27.0,0.4460511679644049,27.0,0.7050055617352614
28,0.681868743047831,28.0,0.4362625139043382,28.0,0.3632925472747497
29,0.5483870967741935,29.0,0.6262513904338153,29.0,0.3664071190211346
30,0.5150166852057843,30.0,0.6943270300333704,30.0,0.43715239154616237
31,0.5897664071190212,31.0,0.4473859844271412,31.0,0.43670745272525024
32,0.8616240266963293,32.0,0.5328142380422692,32.0,0.49988876529477194
33,0.6943270300333704,33.0,0.3931034482758621,33.0,0.4206896551724138
34,0.6596218020022246,34.0,0.4313681868743047,34.0,0.44827586206896547
35,0.7601779755283649,35.0,0.47497219132369295,35.0,0.450055617352614
36,0.6605116796440489,36.0,0.5535654723318802,36.0,0.539043381535039
37,0.6845383759733037,37.0,0.5515016685205784,37.0,0.3868743047830923
38,0.6449388209121245,38.0,0.40111234705228027,38.0,0.4353726362625139
39,0.7058954393770857,39.0,0.5982202447163515,39.0,0.37085650723025576
40,0.8723025583982202,40.0,0.43804226918798667,40.0,0.38242491657397104
41,0.6542825361512792,41.0,0.6599176812445163,41.0,0.3815350389321468
42,0.7579532814238041,42.0,0.3769051085732336,42.0,0.37423517864237243
43,0.5977753058954393,43.0,0.5457174638487208,43.0,0.45272525027808674
44,0.6084538375973303,44.0,0.5978418103519945,44.0,0.5185761957730812
45,0.3904338153503893,45.0,0.3704115684093437,45.0,0.3686318131256952
46,0.5403781979977753,46.0,0.37486095661846497,46.0,0.49393703720931437
47,0.8887652947719689,47.0,0.48698553948832035,47.0,0.6164627363737486
48,0.8046718576195773,48.0,0.5359288097886541,48.0,0.4295884315906563
49,0.7472747497219132,49.0,0.5337041156840934,49.0,0.5550611790878754
50,0.7997775305895439,50.0,0.5167964404894326,50.0,0.5199110122358176
51,0.5394883203559511,51.0,0.5384358693903337,51.0,0.47630700778642937
52,0.8006674082313682,52.0,0.37842046718576194,52.0,0.4674082313681869
53,0.6533926585094549,53.0,0.45299811160277664,53.0,0.4269187986651835
54,0.5237512547705974,54.0,0.47185761957730815,54.0,0.44160177975528364
55,0.8157953281423804,55.0,0.6169076751946607,55.0,0.38731924360400444
56,0.6992213570634038,56.0,0.3632925472747497,56.0,0.5630700778642936
57,0.6516129032258065,57.0,0.6038491526964321,57.0,0.4206896551724138
58,0.5875417130144606,58.0,0.7290322580645161,58.0,0.48609566184649605
59,0.6258064516129032,59.0,0.6636262513904337,59.0,0.5951056729699666
60,0.596729339547469,60.0,0.4251390433815351,60.0,0.44338153503893213
61,0.6227611563733654,61.0,0.6978865406006673,61.0,0.38509454949944383
62,0.5959955506117909,62.0,0.38242491657397104,62.0,0.44783092324805335
63,0.7681868743047832,63.0,0.5866518353726363,63.0,0.5310344827586206
64,0.7201334816462737,64.0,0.5359288097886541,64.0,0.54972191323693
65,0.8419179048648854,65.0,0.5114571746384872,65.0,0.3837597330367074
66,0.7219132369299222,66.0,0.5292547274749722,66.0,0.5172413793103449
67,0.7365962180200223,67.0,0.3731227078378469,67.0,0.4647385984427141
68,0.739265850945495,68.0,0.4593993325917686,68.0,0.4046718576195773
69,0.8349276974416019,69.0,0.6373748609566184,69.0,0.4269187986651835
70,0.6680756395995551,70.0,0.3757508342602892,70.0,0.37842046718576194
71,0.6885428253615128,71.0,0.5884315906562848,71.0,0.4580645161290322
72,0.5879866518353727,72.0,0.6066740823136819,72.0,0.5813125695216907
73,0.7886540600667409,73.0,0.6262513904338153,73.0,0.5848720800889877
74,0.6867630700778643,74.0,0.7001112347052281,74.0,0.681868743047831
75,0.7459399332591768,75.0,0.48476084538375974,75.0,0.5345939933259177
76,0.9078976640711901,76.0,0.5555061179087876,76.0,0.47897664071190205
77,0.6952169076751946,77.0,0.3793103448275862,77.0,0.6155728587319244
78,0.7010011123470522,78.0,0.46918798665183536,78.0,0.49543937708565067
79,0.8291434927697442,79.0,0.5795328142380423,79.0,0.49899888765294764
80,0.6551724137931034,80.0,0.45317018909899887,80.0,0.37174638487208006
81,0.7134593993325918,81.0,0.5946607341490544,81.0,0.5546162402669632
82,0.5510567296996662,82.0,0.38731924360400444,82.0,0.41090100111234706
83,0.8607341490545051,83.0,0.4994438264738598,83.0,0.5973303670745272
84,0.8313681868743048,84.0,0.385539488320356,84.0,0.6943270300333704
85,0.43964846194847085,85.0,0.6124582869855395,85.0,0.41846496106785314
86,0.3793103448275862,86.0,0.6427141268075639,86.0,0.5474972191323693
87,0.7975528364849833,87.0,0.41161419767442864,87.0,0.5154616240266964
88,0.7312569521690767,88.0,0.45850945494994433,88.0,0.36284760845383757
89,0.450055617352614,89.0,0.49193458976116844,89.0,0.4602892102335928
90,0.8091212458286985,90.0,0.4318131256952169,90.0,0.49855394883203563
91,0.9021134593993325,91.0,0.41940149330610704,91.0,0.4251390433815351
92,0.7486095661846496,92.0,0.5256952169076751,92.0,0.3793103448275862
93,0.5555061179087876,93.0,0.4251390433815351,93.0,0.489210233592881
94,0.4082313681868743,94.0,0.4816462736373748,94.0,0.6298109010011124
95,0.49454949944382637,95.0,0.5323692992213571,95.0,0.4398220244716351
96,0.8758620689655172,96.0,0.3686318131256952,96.0,0.41579532814238046
97,0.8233592880978865,97.0,0.44293659621801995,97.0,0.5379908810685236
98,0.6502780867630701,98.0,0.6547274749721913,98.0,0.4269187986651835
99,0.8496106785317018,99.0,0.4362625139043382,99.0,0.3757508342602892
100,0.7779755283648498,100.0,0.5426028921023358,100.0,0.5403781979977753
101,0.5550611790878754,101.0,0.5773081201334815,101.0,0.42469410456062295
102,0.7859844271412681,102.0,0.4398220244716351,102.0,0.5101223581757508
103,0.7103448275862069,103.0,0.6476084538375974,103.0,0.5087875417130144
104,0.646718576195773,104.0,0.41446051167964404,104.0,0.5417130144605116
105,0.8456062291434927,105.0,0.535483870967742,105.0,0.503448275862069
106,0.8157953281423804,106.0,0.40111234705228027,106.0,0.4771968854282535
107,0.6711902113459399,107.0,0.44916573971078977,107.0,0.47897664071190205
108,0.7988876529477197,108.0,0.531924360400445,108.0,0.4518353726362625
109,0.6983314794215795,109.0,0.5132369299221357,109.0,0.3886540600667408
110,0.4709677419354839,110.0,0.6400444938820912,110.0,0.4091212458286986
111,0.6912124582869855,111.0,0.439377085650723,111.0,0.5234705228031146
112,0.732146829810901,112.0,0.385539488320356,112.0,0.5065628476084539
113,0.7174638487208009,113.0,0.489210233592881,113.0,0.4578929831426887
114,0.8367074527252502,114.0,0.38242491657397104,114.0,0.6
115,0.4883203559510568,115.0,0.41401557285873186,115.0,0.3664071190211346
116,0.5208008898776418,116.0,0.5323692992213571,116.0,0.6547274749721913
117,0.6315906562847609,117.0,0.4264738598442714,117.0,0.3664071190211346
118,0.6565072302558399,118.0,0.3699666295884316,118.0,0.43759733036707454
119,0.7410456062291434,119.0,0.6080765417536289,119.0,0.40200222469410457
120,0.6542825361512792,120.0,0.364182424916574,120.0,0.657397107897664
121,0.5942157953281423,121.0,0.3635554589189278,121.0,0.44694104560622916
122,0.6880978865406007,122.0,0.42380422691879865,122.0,0.6342602892102336
