Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7824939109193831,1.0,0.5258395662387366,1.0,0.7301014761721483
2,0.798740074074869,2.0,0.373801694647377,2.0,0.5124985880512457
3,0.8260966162060693,3.0,0.5925010104756346,3.0,0.6208790754083612
4,0.8434208592643083,4.0,0.5574215531190979,4.0,0.5185015001716455
5,0.8235752825198133,5.0,0.37663397650244845,5.0,0.5174330479848017
6,0.5286062285572661,6.0,0.44486836690266957,6.0,0.4680424063683351
7,0.7001201514184936,7.0,0.5581014668629869,7.0,0.4453397845093582
8,0.7237406756106908,8.0,0.549269734378208,8.0,0.4188813154410882
9,0.8355185509886672,9.0,0.6183359197325098,9.0,0.5028292069422149
10,0.6269823807938268,10.0,0.3999306490641094,10.0,0.441100434425503
11,0.7975148859493111,11.0,0.7340558543976069,11.0,0.4058153221405537
12,0.6404262693441043,12.0,0.6846927323238489,12.0,0.7185212563658308
13,0.8092620808837601,13.0,0.6190207131248213,13.0,0.7441129916833286
14,0.7308138731274567,14.0,0.562006848234064,14.0,0.42289160215115174
15,0.7982319537216006,15.0,0.49390462745670594,15.0,0.4633203217012418
16,0.6159458957498882,16.0,0.49681250029530943,16.0,0.4853954637805286
17,0.8433171850769788,17.0,0.3618486294194437,17.0,0.5544548659896729
18,0.8192974663930955,18.0,0.5110442918067293,18.0,0.48857107055638493
19,0.6750285453887753,19.0,0.5920788775626824,19.0,0.4789573808902632
20,0.7570392358240805,20.0,0.5679889767716477,20.0,0.36952191876236506
21,0.6326377260419686,21.0,0.4570019299853242,21.0,0.4568709048845309
22,0.8082164972242395,22.0,0.5205051164087486,22.0,0.36971421009749544
23,0.7321834659498467,23.0,0.7505671735798043,23.0,0.48917705226934405
24,0.8375091527256597,24.0,0.5547227392118206,24.0,0.5617650340892913
25,0.6171513931000078,25.0,0.36229207102112454,25.0,0.8063756801872752
26,0.6336328773693944,26.0,0.4368484849830752,26.0,0.3870659467101325
27,0.7015611773632582,27.0,0.5498869051516043,27.0,0.37792262088788287
28,0.8388647270006188,28.0,0.4427263978789343,28.0,0.5958374406152078
29,0.7550257778220919,29.0,0.39455212485990854,29.0,0.37934334453054064
30,0.4547003172545636,30.0,0.5290610603158694,30.0,0.4123975182815811
31,0.8352157506845771,31.0,0.5452074747893068,31.0,0.5533959157606795
32,0.8945945382852515,32.0,0.4802477938377943,32.0,0.41467600400793453
33,0.7981438970835185,33.0,0.5176929728704318,33.0,0.587536712200301
34,0.5507923752605453,34.0,0.44808124284614614,34.0,0.5938825376623678
35,0.6748768693611017,35.0,0.5910488100469233,35.0,0.530142352034316
36,0.7030939992392968,36.0,0.6188082398407695,36.0,0.4843492951060495
37,0.7987932051177062,37.0,0.5647100571734575,37.0,0.5606780635703744
38,0.8536670118178793,38.0,0.6126939036296342,38.0,0.5689452699615263
39,0.6546099091392973,39.0,0.7675405167951826,39.0,0.43623632422444125
40,0.711159442223222,40.0,0.4913655376158162,40.0,0.43471648611746244
41,0.8907869595056737,41.0,0.4671766593471857,41.0,0.41823134654632854
42,0.6727976820270716,42.0,0.441714310898189,42.0,0.5180467449869723
43,0.8644350554381098,43.0,0.4439718312051937,43.0,0.5777989102771632
44,0.8570797263386484,44.0,0.39293832007930224,44.0,0.41966940386681306
45,0.75641693192954,45.0,0.4161029891782875,45.0,0.4967128922252718
46,0.8962682694771648,46.0,0.51855225369426,46.0,0.4220748362696343
47,0.8991184946651992,47.0,0.47489625545848263,47.0,0.6267714391050886
48,0.9014487731518729,48.0,0.6147927175632715,48.0,0.40498283658410184
49,0.6913317113943045,49.0,0.5142185134976784,49.0,0.5025599045913888
50,0.8187768260657228,50.0,0.37845372101037833,50.0,0.5619071742612662
51,0.6171179569857768,51.0,0.8723171887222951,51.0,0.378553322384721
52,0.7783859660641804,52.0,0.5787926079966312,52.0,0.6156074479143079
53,0.7166745073140657,53.0,0.7446333632681396,53.0,0.39288228574972855
54,0.8016099866505539,54.0,0.4384437302184282,54.0,0.49986552115820626
55,0.82246332940023,55.0,0.39552647265363533,55.0,0.6764384384849641
56,0.6105261368753212,56.0,0.5848537109916884,56.0,0.37414871462440896
57,0.4760108319211724,57.0,0.4893689159605886,57.0,0.49329443713153304
58,0.6899138483533642,58.0,0.4479627300921129,58.0,0.5262890384969738
59,0.7768449939365376,59.0,0.4482317045723913,59.0,0.5648475420428416
60,0.7098440635199572,60.0,0.4274380343642194,60.0,0.5283916330026689
61,0.8539150038295603,61.0,0.39935753676183683,61.0,0.3841357452257959
62,0.7038712223054537,62.0,0.6051605282863307,62.0,0.394314579586649
63,0.7629196502553963,63.0,0.7707516283438829,63.0,0.5420306710756367
64,0.7177190109282899,64.0,0.45301626663577343,64.0,0.39757971375289236
65,0.7817290910713761,65.0,0.47103420979579225,65.0,0.6357560818512349
66,0.7674325987199313,66.0,0.4929523345280252,66.0,0.6001511525383871
67,0.8587219317531588,67.0,0.7461467895481928,67.0,0.5619787694737165
68,0.7207505495015586,68.0,0.4047511933864054,68.0,0.4987182105240898
69,0.8730573259595082,69.0,0.5569283652183467,69.0,0.7212247841058839
70,0.6039481826991729,70.0,0.40580722185455936,70.0,0.5744354283708857
71,0.6301806318699099,71.0,0.47579196543450564,71.0,0.7346825039824214
72,0.6761492942342452,72.0,0.5732038817122278,72.0,0.5763038644854225
73,0.6486494021110855,73.0,0.3990395094737069,73.0,0.592271003838306
74,0.806412980404983,74.0,0.6345508830406548,74.0,0.6729742605772274
75,0.6055410575018524,75.0,0.6461675404814642,75.0,0.3837481782706654
76,0.8326508158421932,76.0,0.4364490528522802,76.0,0.44649588504597687
77,0.8641289470547435,77.0,0.6680311127499591,77.0,0.6737345991932445
78,0.8661670616115814,78.0,0.510406172362916,78.0,0.5948385524816008
79,0.6544374409238835,79.0,0.4322394796383295,79.0,0.3612488407312653
80,0.5336895516235265,80.0,0.5825308022563734,80.0,0.5934182261256624
81,0.7628017429423182,81.0,0.7623190042792988,81.0,0.4544347766758284
82,0.7106749930794007,82.0,0.44353559810865856,82.0,0.42237181321753414
83,0.6390946661882145,83.0,0.5621981260827907,83.0,0.5619054184190946
84,0.9075956950096442,84.0,0.4124779323093577,84.0,0.5030696381797621
85,0.6105810015687401,85.0,0.5048894182801615,85.0,0.3736128900867087
86,0.9110192843536215,86.0,0.4651384641310845,86.0,0.5209721665568557
87,0.8551814012620566,87.0,0.4771382970678678,87.0,0.47839263918856983
88,0.6512039437567232,88.0,0.5268480054692036,88.0,0.7120979403859042
89,0.8900385720477916,89.0,0.37478885098799036,89.0,0.5997784633805844
90,0.7302521490272327,90.0,0.45197500074481023,90.0,0.3814569916874437
91,0.7276095692130422,91.0,0.5595477355299087,91.0,0.7298468935089407
92,0.7781900757216479,92.0,0.7152831372803672,92.0,0.46126806227405814
93,0.5951661347911749,93.0,0.4741863528122242,93.0,0.40940564884191316
94,0.7842733109571229,94.0,0.6904222400163137,94.0,0.4343537795922487
95,0.7219642907279888,95.0,0.4746060979753602,95.0,0.49946124515654966
96,0.6580437725312063,96.0,0.47121412836404286,96.0,0.47497074048679744
97,0.6802757756472184,97.0,0.4502317091370569,97.0,0.42587021523263197
98,0.5046149157110347,98.0,0.7165012636356959,98.0,0.5259954469511929
99,0.7583732065818748,99.0,0.46650449566308694,99.0,0.37386085125698254
100,0.6421238327843262,100.0,0.38394047880614873,100.0,0.37448457068731933
101,0.7006247871389139,101.0,0.4817000097849368,101.0,0.3712990458743124
102,0.6209024152872246,102.0,0.5926711175298227,102.0,0.44616053203985834
103,0.8546723178123604,103.0,0.6119413075809839,103.0,0.5558851848382038
104,0.6870703760197543,104.0,0.5071531694802649,104.0,0.7355938209864094
105,0.7944180439598842,105.0,0.36551606535740633,105.0,0.4152918371977266
106,0.769761505175259,106.0,0.5172862822287371,106.0,0.5405057901713908
107,0.7283760988844774,107.0,0.5126459907689035,107.0,0.5354382490408623
108,0.8991339846117425,108.0,0.4211528414699524,108.0,0.3691754093779919
109,0.7856584028569233,109.0,0.5794924678890933,109.0,0.3633965195629912
110,0.8215102330970504,110.0,0.5871114191856315,110.0,0.5962888351268733
111,0.8678846583054349,111.0,0.7275884169457262,111.0,0.44495064241935145
112,0.5582171477930574,112.0,0.5527847898902998,112.0,0.5244885311133902
113,0.8416899605700564,113.0,0.49878019967065007,113.0,0.6097825184940944
114,0.7979819222623639,114.0,0.4475742541819296,114.0,0.4522762263811946
115,0.8575071766234242,115.0,0.4890191055955673,115.0,0.4200097882700834
116,0.8301153876998744,116.0,0.4808069660277383,116.0,0.5834237824082129
