Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7576768082100553,1.0,0.4342383764066271,1.0,0.5883670755532472
2,0.6176065646878156,2.0,0.6345317303728009,2.0,0.4116136439291376
3,0.7838632322687705,3.0,0.4445965691313778,3.0,0.37367886345134405
4,0.8488279867163613,4.0,0.6322962862275752,4.0,0.4371353940960741
5,0.5757896118554002,5.0,0.3968160702633862,5.0,0.39982544196318864
6,0.6653204399092059,6.0,0.5669036019313791,6.0,0.5576635280637388
7,0.6913607833406307,7.0,0.3943716816957577,7.0,0.4358131561924839
8,0.7969709752248907,8.0,0.41196976327299795,8.0,0.4383153272120251
9,0.6352583926389551,9.0,0.3825258044920001,9.0,0.390501129434138
10,0.7818185048786491,10.0,0.6970974062100238,10.0,0.38747869479755354
11,0.6819815225772469,11.0,0.6415145352149902,11.0,0.45714823406445343
12,0.6788246425494835,12.0,0.5125489794695915,12.0,0.4585081811449524
13,0.6204361137790312,13.0,0.537231825588892,13.0,0.4710542990318023
14,0.667223911513859,14.0,0.41361514219631595,14.0,0.5153173375683453
15,0.6973853349092335,15.0,0.4933575005601736,15.0,0.39768515381894987
16,0.747240487208051,16.0,0.42150557683091106,16.0,0.3643187409173348
17,0.8513475079831175,17.0,0.6478895960602404,17.0,0.40752294411847717
18,0.657533861807222,18.0,0.4228665177505109,18.0,0.4240911113218665
19,0.6695106296256771,19.0,0.6114708072706604,19.0,0.5548142055955061
20,0.8644257071424499,20.0,0.6757603803995701,20.0,0.43702759844103195
21,0.6762029116018379,21.0,0.48575610011671094,21.0,0.5971600909379855
22,0.42962950201709316,22.0,0.6029445120175251,22.0,0.4384181228349636
23,0.3753757998871977,23.0,0.630887959874043,23.0,0.41712791550111744
24,0.7922583285471693,24.0,0.49714221329271147,24.0,0.5087090051487063
25,0.5774378750860977,25.0,0.376104313687806,25.0,0.43278380910483516
26,0.6010766663375813,26.0,0.5918077724395843,26.0,0.38345632247401235
27,0.8262319303909416,27.0,0.5638237363010364,27.0,0.37668235257400495
28,0.8886039010724264,28.0,0.4960777021861483,28.0,0.438807852226362
29,0.7442822298425795,29.0,0.5288881294608934,29.0,0.3839950486635563
30,0.8780214096395516,30.0,0.3829191379921764,30.0,0.36223733958823406
31,0.8146879610677678,31.0,0.5405934981175424,31.0,0.5305539193407266
32,0.6858754973610317,32.0,0.4831137589323399,32.0,0.4742345956298099
33,0.766518923049074,33.0,0.5249461719734096,33.0,0.36290625160353374
34,0.8349176564243938,34.0,0.5911725522810003,34.0,0.3718630454242825
35,0.6571442426463291,35.0,0.6418035512566709,35.0,0.5090380557762705
36,0.5392891679921223,36.0,0.5993200539536596,36.0,0.5633315242112902
37,0.6647771993710833,37.0,0.5090448405395018,37.0,0.4935370005464063
38,0.8128104167427237,38.0,0.3929775116896412,38.0,0.43572284365902014
39,0.6986767185751432,39.0,0.6205754014529601,39.0,0.42521570520570806
40,0.638674225570379,40.0,0.5512934668558827,40.0,0.3944882259760831
41,0.7750998880593569,41.0,0.5187911418169888,41.0,0.41157385157404075
42,0.7664383702206254,42.0,0.3958688002766844,42.0,0.41864146338009367
43,0.7864134516135836,43.0,0.7130535553806482,43.0,0.43050088953164584
44,0.6729567579606586,44.0,0.38004029096406267,44.0,0.5164138712581229
45,0.5972378112059671,45.0,0.5898481900982956,45.0,0.5487094805286693
46,0.8328447296121017,46.0,0.3656388081405035,46.0,0.5850416595761785
47,0.5509128313449756,47.0,0.4683520070368376,47.0,0.5561753202032846
48,0.8173714326134838,48.0,0.5825575477547728,48.0,0.42712465781764186
49,0.6666649975786466,49.0,0.4129254614774597,49.0,0.38154228514234506
50,0.8414952715069592,50.0,0.40597695619336177,50.0,0.409289225139892
51,0.520838395659266,51.0,0.5005282170282492,51.0,0.4351054121251007
52,0.7794701479827643,52.0,0.4849010172575703,52.0,0.44162185059944165
53,0.8578406704699921,53.0,0.5992621471108998,53.0,0.39792026087380344
54,0.7805557177063428,54.0,0.6819573165841114,54.0,0.4324943576661337
55,0.7061733600922913,55.0,0.544034929189884,55.0,0.6494722483342192
56,0.8126918723618396,56.0,0.6641404432523734,56.0,0.4031143603681707
57,0.515830000341336,57.0,0.45592763062147146,57.0,0.5833765117344023
58,0.7373963822927133,58.0,0.5854742730008334,58.0,0.55221564192237
59,0.7356268186214032,59.0,0.5914324125258097,59.0,0.4907274041041888
60,0.6289543541937176,60.0,0.4946217306112892,60.0,0.6129650362299309
61,0.8811070406546075,61.0,0.6558320768223553,61.0,0.4242523877286344
62,0.8530189426509481,62.0,0.43664823328246627,62.0,0.377150027902704
63,0.8198544818257829,63.0,0.5012222276809046,63.0,0.36720277641393506
64,0.8969689204574046,64.0,0.5956419436078307,64.0,0.4614241715606657
65,0.8997161811863504,65.0,0.7061295033280812,65.0,0.3801741165267773
66,0.9141847877363903,66.0,0.4569069003690609,66.0,0.6520619143971638
67,0.6844489162207114,67.0,0.5522629170906953,67.0,0.6453772221329289
68,0.569965406942575,68.0,0.6671134181428044,68.0,0.38923662229734174
69,0.8194023462484747,69.0,0.5188564048402056,69.0,0.46093389792885475
70,0.8605667823938945,70.0,0.524879109329635,70.0,0.523486418130644
71,0.8273842858874326,71.0,0.3748574684341617,71.0,0.5198616918547257
72,0.654492160112561,72.0,0.4007473732356585,72.0,0.6083659114279008
73,0.7785107124520025,73.0,0.45424995132923945,73.0,0.4354080381340153
74,0.6199843376997765,74.0,0.4331891249549083,74.0,0.3809645073244325
75,0.7715575121894943,75.0,0.4575964410351689,75.0,0.4737675970866383
76,0.5900287289051513,76.0,0.48752940312639087,76.0,0.5154627707495711
77,0.7313100784096955,77.0,0.5345305264577193,77.0,0.5052520967032196
78,0.5806638699276305,78.0,0.4183346350895841,78.0,0.4182995223781326
79,0.6698920544898125,79.0,0.39050700958864304,79.0,0.4819871249255035
80,0.693685489168612,80.0,0.5550790444394799,80.0,0.38930603868827957
81,0.5773587619101477,81.0,0.5610536689534417,81.0,0.374824393210254
82,0.7977144925196265,82.0,0.3790343145755023,82.0,0.4218120428428909
83,0.8040214902885114,83.0,0.48254274412047987,83.0,0.432348948222511
84,0.807389117328337,84.0,0.479507600855607,84.0,0.4041416939265933
85,0.7808661635921308,85.0,0.4432282209422469,85.0,0.3759894892906237
86,0.6903174628684396,86.0,0.7249892471177404,86.0,0.5390500808817827
87,0.7059360495033266,87.0,0.6779659340951837,87.0,0.42944832198258454
88,0.7440555082621659,88.0,0.40447240336830564,88.0,0.3703945365820241
89,0.6165162918085315,89.0,0.5383526849898735,89.0,0.43750363215610416
90,0.6399859696450907,90.0,0.5471447953258141,90.0,0.39364538209051003
91,0.5964758177044783,91.0,0.37605067883747245,91.0,0.6732366412689345
92,0.8728183484507123,92.0,0.5039135859769469,92.0,0.5091251425517682
93,0.7449423460774856,93.0,0.5729049706218299,93.0,0.3950666197327263
94,0.6113604460792965,94.0,0.5050761435185138,94.0,0.4077045789407624
95,0.8280206929125753,95.0,0.6373811450106954,95.0,0.483599970362918
96,0.8032009449375503,96.0,0.5288376088305861,96.0,0.3965499687207309
97,0.8510012686001842,97.0,0.5215305056555276,97.0,0.5681362018458395
98,0.6660734710628763,98.0,0.5251698012492296,98.0,0.39693841545358255
99,0.7551776808603242,99.0,0.3660662173039288,99.0,-0.4513785293249429
100,0.8356609739191311,100.0,0.40277956727400877,100.0,0.4833691576830237
101,0.705185120473295,101.0,0.4609280987913798,101.0,0.477240999037692
102,0.8465937690903387,102.0,0.5683913321464441,102.0,0.4465729896411079
103,0.8680890953705905,103.0,0.39836011317864073,103.0,0.5675304904020975
104,0.7940321011701319,104.0,0.5479038531332422,104.0,0.5655899350825481
105,0.8017024597431817,105.0,0.6181251572376123,105.0,0.40534215493343206
106,0.5157745691290988,106.0,0.581926489728813,106.0,0.5020462112087575
107,0.8359686653699451,107.0,0.5784033136230967,107.0,0.39251375714691206
108,0.7646216545811676,108.0,0.7347328768685838,108.0,0.44528737741138485
109,0.7469675757943652,109.0,0.6896966961971898,109.0,0.4168269614202387
110,0.6833741504342463,110.0,0.5888986167646648,110.0,0.47637520291599866
111,0.40170852179779143,111.0,0.41535137976422326,111.0,0.41385935040252075
112,0.7588181158885698,112.0,0.42058890456943565,112.0,0.3934607751051108
113,0.7435951301707623,113.0,0.38495622210381153,113.0,0.5707598229437423
114,0.8571647699629164,114.0,0.6264912709587787,114.0,0.5216885099734724
115,0.8425254307173559,115.0,0.5184619839844635,115.0,0.46902308173420815
116,0.7590363115720307,116.0,0.5148096349946698,116.0,0.3681073873439491
117,0.6666917846348942,117.0,0.5004570672064709,117.0,0.4088360856066093
118,0.7878226944013871,118.0,0.6274171596409659,118.0,0.579183582468852
119,0.8129894128914614,119.0,0.5846448351662044,119.0,0.45887823800943794
120,0.7739855288573882,120.0,0.5088108633915885,120.0,0.45241307684517146
121,0.5521460724659005,121.0,0.4251191611996417,121.0,0.5160338742517305
122,0.742274585346044,122.0,0.4259371447525946,122.0,0.41842671359179573
123,0.790226276991766,123.0,0.416239211971757,123.0,0.6515310510912953
124,0.8783938400206475,124.0,0.6938924501298919,124.0,0.5276150131834884
125,0.6867616511162201,125.0,0.5768861614212061,125.0,0.4246374555997649
126,0.7949522871972821,126.0,0.45046266788190936,126.0,0.3957874222020036
127,0.644322540434845,127.0,0.6564019109166696,127.0,0.3899676571595414
128,0.8740062612197542,128.0,0.5773829132897749,128.0,0.4493821840801737
129,0.7044805135351687,129.0,0.39986010963700314,129.0,0.45493914474899333
130,0.3833705766569771,130.0,0.5409165314819833,130.0,0.6630811751611614
131,0.673447715723207,131.0,0.45265893142575625,131.0,0.5982608269990546
132,0.6946441399101448,132.0,0.3804771557104285,132.0,0.4704821172313457
133,0.7588472509255992,133.0,0.6550383270631086,133.0,0.3981092592886942
134,0.6639879669893733,134.0,0.7192953828726297,134.0,0.36646550633081965
135,0.8192229840582543,135.0,0.45000351749010015,135.0,0.39282876696039726
136,0.7334115771752411,136.0,0.3739274205719613,136.0,0.45787605197964515
137,0.785321358163955,137.0,0.7484953207812659,137.0,0.3694863086011715
138,0.7482667251578857,138.0,0.6917315744923208,138.0,0.40794241455402036
139,0.7470997769646983,139.0,0.5295681038827843,139.0,0.44285014868021205
140,0.6189310814461464,140.0,0.5091589804513253,140.0,0.4240591482827061
141,0.8612860302334204,141.0,0.6101719686179773,141.0,0.4575605778189289
142,0.571027677890681,142.0,0.5050191637942604,142.0,0.4776379215139132
143,0.8034292685837287,143.0,0.36702292077408716,143.0,0.39849963211409783
144,0.8197856266416219,144.0,0.7151450627960471,144.0,0.43268366042287265
