Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7294771968854282,1.0,0.603559510567297,1.0,0.4897096481521176
2,0.6342602892102336,2.0,0.7134593993325918,2.0,0.5368186874304783
3,0.7672969966629588,3.0,0.6066740823136819,3.0,0.5135165233689629
4,0.6298109010011124,4.0,0.3993325917686318,4.0,0.3899888765294772
5,0.6978865406006673,5.0,0.6591768631813125,5.0,0.4006674082313682
6,0.6618464961067854,6.0,0.37441601779755285,6.0,-0.3828698553948832
7,0.585761957730812,7.0,0.7317018909899888,7.0,0.42602892102335926
8,0.8358175750834261,8.0,0.6774193548387096,8.0,0.398487042181028
9,0.5394883203559511,9.0,0.5293136087932248,9.0,0.5286461263105094
10,0.8629588431590656,10.0,0.5555061179087876,10.0,0.5065628476084539
11,0.75706340378198,11.0,0.5875417130144606,11.0,0.4398220244716351
12,0.785539488320356,12.0,0.6329254727474972,12.0,0.3635554589189278
13,0.8238042269187986,13.0,0.6186874304783093,13.0,0.4131256952169076
14,0.6636262513904337,14.0,0.6249165739710789,14.0,0.4505005561735262
15,0.6952169076751946,15.0,0.4166852057842047,15.0,0.5692992213570635
16,0.757508342602892,16.0,0.44916573971078977,16.0,0.5301446051167964
17,0.6266963292547274,17.0,0.38954393770856505,17.0,0.3837597330367074
18,0.8309232480533927,18.0,0.4162402669632926,18.0,0.4068965517241379
19,0.6484983314794216,19.0,0.4825361512791991,19.0,0.3890989988876529
20,0.7975528364849833,20.0,0.42380422691879865,20.0,0.382467462595861
21,0.9225806451612902,21.0,0.3975528364849833,21.0,0.7374860956618465
22,0.6164627363737486,22.0,0.44827586206896547,22.0,0.6155728587319244
23,0.7566184649610679,23.0,0.4042269187986652,23.0,0.38954393770856505
24,0.660956618464961,24.0,0.3846496106785317,24.0,0.4295884315906563
25,0.8375973303670745,25.0,0.4887652947719689,25.0,0.4313681868743047
26,0.7628476084538376,26.0,0.46696329254727476,26.0,0.3890989988876529
27,0.6685205784204672,27.0,0.7370411568409344,27.0,0.49410456062291436
28,0.7543937708565073,28.0,0.421579532814238,28.0,0.43448275862068964
29,0.7708565072302558,29.0,0.7161290322580645,29.0,0.5377085650723026
30,0.8487208008898777,30.0,0.3935483870967742,30.0,0.5777530589543938
31,0.7236929922135705,31.0,0.6191323692992213,31.0,0.539043381535039
32,0.7815350389321468,32.0,0.517686318131257,32.0,0.5968854282536151
33,0.7775305895439377,33.0,0.603559510567297,33.0,0.3635554589189278
34,0.8011123470522803,34.0,0.37352614015572855,34.0,0.6164627363737486
35,0.714349276974416,35.0,0.6180887789943583,35.0,0.3971078976640712
36,0.761067853170189,36.0,0.43448275862068964,36.0,0.5016685205784205
37,0.8723025583982202,37.0,0.511012235817575,37.0,0.49454949944382637
38,0.6226918798665184,38.0,0.3953721239283566,38.0,0.4909899888765294
