Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7873192436040044,1.0,0.3882091212458286,1.0,0.3659621802002225
2,0.9074527252502781,2.0,0.6720800889877642,2.0,0.5755283648498332
3,0.6080088987764182,3.0,0.41490545050055616,3.0,0.4229143492769744
4,0.8117908787541713,4.0,0.5541713014460512,4.0,0.5470522803114571
5,0.6743047830923248,5.0,0.44649610678531704,5.0,0.5744799234569593
6,0.6934371523915461,6.0,0.4091212458286986,6.0,0.5296996662958843
7,0.8611790878754171,7.0,0.6093437152391545,7.0,0.4505005561735262
8,0.7615127919911011,8.0,0.4282536151279199,8.0,0.4024471635150167
9,0.6680756395995551,9.0,0.7628476084538376,9.0,0.3659621802002225
10,0.5617352614015573,10.0,0.40867630700778645,10.0,0.38064516129032255
11,0.8028921023359289,11.0,0.5977753058954393,11.0,0.3979977753058954
12,0.7486095661846496,12.0,0.5056729699666296,12.0,0.46651835372636263
13,0.7787295631678379,13.0,0.7459399332591768,13.0,0.41846496106785314
14,0.8478309232480534,14.0,0.5345939933259177,14.0,0.47880743426776784
15,0.7935483870967741,15.0,0.37486095661846497,15.0,0.3939933259176863
16,0.8335928809788653,16.0,0.4229143492769744,16.0,0.4785317018909899
17,0.8785317018909901,17.0,0.4883203559510568,17.0,0.4460511679644049
18,0.6031145717463848,18.0,0.4602892102335928,18.0,0.6373748609566184
19,0.7014460511679643,19.0,0.45317018909899887,19.0,0.5559510567296997
20,0.8318131256952168,20.0,0.525250278086763,20.0,0.4442714126807564
21,0.5675194660734149,21.0,0.47230255839822033,21.0,0.5639599555061179
22,0.8420467185761957,22.0,0.5283648498331479,22.0,0.37263626251390436
23,0.6729699666295884,23.0,0.5986651835372636,23.0,0.4153503893214683
24,0.6658509454949945,24.0,0.4580645161290322,24.0,0.7125695216907675
25,0.8602892102335928,25.0,0.4166852057842047,25.0,0.46073414905450494
26,0.6413793103448275,26.0,0.3668520578420467,26.0,0.5337634920113267
27,0.8166852057842046,27.0,0.5817575083426029,27.0,0.41846496106785314
28,0.7116796440489432,28.0,0.43670745272525024,28.0,0.4487208008898776
29,0.6307007786429366,29.0,0.364182424916574,29.0,0.5363737486095662
30,0.8602892102335928,30.0,0.39488320355951056,30.0,0.41090100111234706
31,0.6449388209121245,31.0,0.5381535038932147,31.0,0.364182424916574
32,0.7076751946607341,32.0,0.47541713014460507,32.0,0.5016685205784205
33,0.732146829810901,33.0,0.41935483870967744,33.0,0.48476084538375974
34,0.6364849833147942,34.0,0.5728587319243604,34.0,0.5056729699666296
35,0.8149054505005562,35.0,0.6587319243604004,35.0,0.3913236929922136
