Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.5264496671311989,1.0,0.5752938543418893,1.0,0.45610370304784076
2,0.8554441573016371,2.0,0.5149457864195629,2.0,0.44196528538498564
3,0.649031659674649,3.0,0.4237877269921549,3.0,0.5280015566737932
4,0.754558098242144,4.0,0.5194547624933462,4.0,0.4116148630958521
5,0.8580503971433064,5.0,0.39556630144938787,5.0,0.4709226310847606
6,0.41745423785130176,6.0,0.40397436851710755,6.0,0.4421939605122979
7,0.8421313825188557,7.0,0.4843605905661659,7.0,0.48774315837411725
8,0.7467562193898837,8.0,0.3715868585821787,8.0,0.4541723264027334
9,0.5188416519632147,9.0,0.43392698653152745,9.0,0.4555779107539311
10,0.7486774350571462,10.0,0.6075385594306519,10.0,0.45744408079689036
11,0.6839927263741967,11.0,0.6719186120520961,11.0,0.7320323999581406
12,0.665211858205848,12.0,0.416936337929755,12.0,0.3950455970436601
13,0.6947618821805215,13.0,0.7156826410772067,13.0,0.3830596474059744
14,0.7939593288508565,14.0,0.47312257405396835,14.0,0.3987344661450364
15,0.8061804591456085,15.0,0.5560856641480775,15.0,0.6550093932682243
16,0.8547766763735289,16.0,0.6329378798320805,16.0,0.4502800389154015
17,0.8026329935501457,17.0,0.4190455151080962,17.0,0.6282789458240585
18,0.6424546400382795,18.0,0.569107461076519,18.0,0.4731266488695563
19,0.8177531965599985,19.0,0.5885992868270908,19.0,0.401434474701615
20,0.6540431586056209,20.0,0.692985312641106,20.0,0.49299511430347726
21,0.705619152106801,21.0,0.5253848885382624,21.0,0.3625567200227602
22,0.915706264413746,22.0,0.5925599811862217,22.0,0.47279324486750407
23,0.7070011967523198,23.0,0.3639921581122218,23.0,0.5129739823588171
24,0.8777653984731784,24.0,0.5823747518537941,24.0,0.3944428722511656
25,0.6416441425497622,25.0,0.38755620030666643,25.0,0.389771882443415
26,0.7519309286218587,26.0,0.38826970812338263,26.0,0.41978640281283974
27,0.8630796269895601,27.0,0.6514949018952346,27.0,0.3780715908432122
28,0.6896821214822442,28.0,0.5471746817185132,28.0,0.47823870951850134
29,0.7904508631977495,29.0,0.509359895043427,29.0,0.6188036284377594
30,0.812960200420341,30.0,0.5332198126374031,30.0,0.5951298495294761
31,0.884209773826225,31.0,0.4449803367770982,31.0,0.4793999723743716
32,0.826397553100706,32.0,0.5231713370286473,32.0,0.41524302967552273
33,0.8134998881060318,33.0,0.4679009228369199,33.0,0.5391043069682236
34,0.8636382559157697,34.0,0.6372028014087098,34.0,0.6836551039534149
35,0.8529972843148728,35.0,0.3822062722878791,35.0,0.4820816499166838
36,0.6293952943399754,36.0,0.41953908079557245,36.0,0.7615210002799226
37,0.8389511336245773,37.0,0.47094926111774543,37.0,0.4057672102089639
38,0.8398110882324206,38.0,0.6203280691158563,38.0,0.61061984737488
39,0.3908280972427149,39.0,0.6186513997850185,39.0,0.6689572297167571
40,0.827413435139726,40.0,0.6318230909795606,40.0,0.5114081036574046
41,0.8264810407134877,41.0,0.6369154580026815,41.0,0.5650059515273835
42,0.5306739443301064,42.0,0.5328808314462009,42.0,0.4896857122314746
43,0.8540878333555725,43.0,0.5263883928681178,43.0,0.418713292501801
44,0.8117169443395591,44.0,0.5594067436743715,44.0,0.5224416569546041
45,0.9187484256996244,45.0,0.45255621778126665,45.0,0.5406788938224555
46,0.9251328071391486,46.0,0.3749706039877021,46.0,0.42143505590589947
47,0.7413111726246246,47.0,0.39391434447144746,47.0,0.6098327621228097
48,0.7055693471952598,48.0,0.4531861553588774,48.0,0.4022106853756665
49,0.8333221970630343,49.0,0.563382326724328,49.0,0.41455607955605844
50,0.8746282629404968,50.0,0.5849397136486286,50.0,0.7429416642755338
51,0.8877442979395244,51.0,0.6179484668519918,51.0,0.3777824504847259
52,0.8993002303011043,52.0,0.5391046092183047,52.0,0.6187379243189068
53,0.8556602945653718,53.0,0.4151403214027059,53.0,0.3866331189141524
54,0.7745371203874648,54.0,0.4003025611483396,54.0,0.5184953345510986
55,0.9013279300067697,55.0,0.5068981852403511,55.0,0.38270960295612866
56,0.8037796857116961,56.0,0.4022834692827224,56.0,0.38158558294534556
57,0.8531231150755967,57.0,0.503455162365015,57.0,0.47122966736570493
58,0.657270437196184,58.0,0.44948018819494806,58.0,0.38662138712027816
59,0.7923519758186477,59.0,0.36350898097015516,59.0,0.5274147445355973
60,0.7467539452078903,60.0,0.43330058992577575,60.0,0.6717707513160041
61,0.7835319977459989,61.0,0.49188093585869963,61.0,0.6206405468338955
62,0.8322705325499347,62.0,0.4895864244815944,62.0,0.486663770021319
63,0.6824363917555697,63.0,0.5221082418004053,63.0,0.7751582965742918
64,0.6952825989480586,64.0,0.3974177394535792,64.0,0.36773859344691207
65,0.6969406447166541,65.0,0.5650095200880131,65.0,0.39579310819596625
66,0.965377703520159,66.0,0.601910777381411,66.0,0.5910153318502911
67,0.91667852727956,67.0,0.5747685320140372,67.0,0.4547769360754946
68,0.8210028144669008,68.0,0.5598001914642166,68.0,0.8235382862736519
69,0.7629105650907637,69.0,0.4302555876087972,69.0,0.429612815031761
70,0.8507520555595259,70.0,0.6507244076870806,70.0,0.4744854181990968
71,0.8788951415600005,71.0,0.5169388272909622,71.0,0.6944601578223236
72,0.687819701001774,72.0,0.37478847297158224,72.0,0.4307171914356591
73,0.7591441762362867,73.0,0.36634672884630776,73.0,0.565112489661054
74,0.6797104751389536,74.0,0.46363269298050047,74.0,0.5098491974377355
75,0.8512526612833619,75.0,0.6475096828450791,75.0,0.5125744976790433
76,0.7648117678136742,76.0,0.38792034238261547,76.0,0.784384062519604
77,0.8926215740687884,77.0,0.4637216150254912,77.0,0.5566198736619792
78,0.9428747489936625,78.0,0.7864146534581045,78.0,0.5219901280573647
79,0.8477545009187356,79.0,0.478290559497443,79.0,0.500857099993321
80,0.7325523410226223,80.0,0.3632075926329858,80.0,0.3927883166141697
81,0.5680697643423986,81.0,0.6744983108810357,81.0,0.6135835004930071
82,0.5498365514234232,82.0,0.5029561026398817,82.0,0.5123997059755349
83,0.8042950470957799,83.0,0.41516706054522845,83.0,0.5341912849030462
84,0.8084365084710345,84.0,0.601658160193618,84.0,0.464052065711016
85,0.8358584835557423,85.0,0.5419410309258762,85.0,0.6559636449150175
86,0.7848414368221693,86.0,0.37281239466762645,86.0,0.5021741195937044
87,0.8144634220313298,87.0,0.44064247722461475,87.0,0.5034398069845868
88,0.8184070086884653,88.0,0.3662181062706932,88.0,0.48076476615708463
89,0.76295347050268,89.0,0.6506107501250722,89.0,0.36600937288096097
90,0.7672825806816761,90.0,0.448259150902642,90.0,0.6883450307588822
91,0.7201195493825885,91.0,0.4738766096472631,91.0,0.3834021434669194
92,0.8609000781074516,92.0,0.724187467317657,92.0,0.48446450676528596
93,0.8335852297027024,93.0,0.36206153423493675,93.0,0.6067889549347869
94,0.8721480969041303,94.0,0.3813639215739737,94.0,0.3938253498376658
95,0.7325714626645984,95.0,0.5296395683355051,95.0,0.4618062986392384
96,0.7884275480277659,96.0,0.5446684885595274,96.0,0.711450327010095
97,0.7731652943684758,97.0,0.4802760909922845,97.0,0.3922232668419527
98,0.8065612118215634,98.0,0.3631648327644315,98.0,0.6608404568413341
99,0.7545464248537881,99.0,0.4532563786641385,99.0,0.43214197097923196
100,0.8175785648747057,100.0,0.4153920633097277,100.0,0.47018886449662256
101,0.8868518802812098,101.0,0.4617835055219485,101.0,0.37525751797638124
102,0.8922799513769927,102.0,0.38293917561332325,102.0,0.430520899193491
103,0.7300782154308849,103.0,0.6300013752043051,103.0,0.41661730804054387
104,0.5951269303888099,104.0,0.3940405348062808,104.0,0.4209767153439413
105,0.671094792998512,105.0,0.4120876791451082,105.0,0.5146589432975266
106,0.8571566022958124,106.0,0.5562370761846264,106.0,0.5316092316232419
107,0.7824449894097546,107.0,0.49048988179592357,107.0,0.40920058991201835
108,0.8263148256817939,108.0,0.4796710381162554,108.0,0.42879000503628834
109,0.7987492263653642,109.0,0.6853574484451767,109.0,0.5381054343586612
110,0.8572800458139482,110.0,0.3663636918628065,110.0,0.46123666513894096
111,0.8832115329819623,111.0,0.40878585736382467,111.0,0.3733829601285823
112,0.7750197028469957,112.0,0.5705770298800261,112.0,0.3918185772297256
113,0.7967147042042197,113.0,0.4627722419010936,113.0,0.6975826228714035
114,0.8456253168730851,114.0,0.5303358783126334,114.0,0.37043823240016804
115,0.8065400589323276,115.0,0.5002441419191809,115.0,0.39528098507959164
116,0.7138934152257231,116.0,0.6375357014146141,116.0,0.3929822935916856
117,0.4043416896728925,117.0,0.5507489375774586,117.0,0.42697812043937844
118,0.7739045666103935,118.0,0.49085791932602024,118.0,0.4266092437046428
119,0.7352702807413433,119.0,0.6494839494266902,119.0,0.37247826820784774
120,0.6820181012592287,120.0,0.4331435093300898,120.0,0.4412152159131923
121,0.8719197971270741,121.0,0.5855628860989704,121.0,0.417174076543019
122,0.7066663044054341,122.0,0.6392347999708657,122.0,0.39036700300483523
123,0.8482632212288157,123.0,0.7289867797163333,123.0,0.37330398047427765
124,0.85313329087107,124.0,0.38355622241027754,124.0,0.3665998996458416
125,0.924257315356491,125.0,0.46926678950862716,125.0,0.5884896092868938
126,0.5948325493511443,126.0,0.4428980286869055,126.0,0.37320713563880403
127,0.707260678354424,127.0,0.5268509868370238,127.0,0.42336984954412993
128,0.7714655154409995,128.0,0.4977124856898155,128.0,0.6127297603021411
129,0.7103998501277956,129.0,0.625271035706325,129.0,0.3767608902994931
130,0.7447013997596758,130.0,0.36625241779574114,130.0,0.4572674539864493
131,0.8841473063421462,131.0,0.503615848895244,131.0,0.5815180224959142
132,0.8022369402213728,132.0,0.4165144510931959,132.0,0.4336065796504779
133,0.8432057243178588,133.0,0.4975861768436497,133.0,0.428778042844645
134,0.8464173623279688,134.0,0.513022346971405,134.0,0.5902458074628119
135,0.845674357146898,135.0,0.422399917768642,135.0,0.4320395675018051
136,0.8264810706777299,136.0,0.5439360942804237,136.0,0.515392519422615
137,0.7400497837339196,137.0,0.45155599273552177,137.0,0.5798507392898471
138,0.5115328419887218,138.0,0.7045413094529378,138.0,0.38048225482628983
139,0.8667200217855826,139.0,0.4224622691106102,139.0,0.495502123662429
140,0.8972236881279186,140.0,0.5946632819561097,140.0,0.6475733064925328
141,0.7890300282838091,141.0,0.5976330434533413,141.0,0.4298173090602812
142,0.8661846638825527,142.0,0.47234816917588274,142.0,0.5687950064300605
143,0.5581666879904884,143.0,0.5977453499546171,143.0,0.37883127778546893
144,0.7994355105319381,144.0,0.5906388642211027,144.0,0.7264147016545275
145,0.8128022823490995,145.0,0.4053382808831111,145.0,0.5855404627658627
146,0.8794939925045936,146.0,0.6338255703702671,146.0,0.38212451771847394
147,0.6108902536620487,147.0,0.36862343489954,147.0,0.3945830538909474
148,0.7987288703429135,148.0,0.4987077546375559,148.0,0.5817260571931168
149,0.7629599934602758,149.0,0.5407638925251684,149.0,0.4865087194279915
150,0.8027264169298487,150.0,0.4036081154666524,150.0,0.7208236704882899
151,0.7950853199685701,151.0,0.5395755731558946,151.0,0.6607028830977271
152,0.9133008151793667,152.0,0.5279655093022164,152.0,0.41709835739174056
153,0.7774476557714931,153.0,0.37054587950945006,153.0,0.6050189756405794
154,0.7347343717271082,154.0,0.7511154877400646,154.0,0.4728099493185991
155,0.9080292348112557,155.0,0.36915354929980526,155.0,0.5981424624387394
156,0.8159973040251963,156.0,0.5091478535245113,156.0,0.445192556054111
157,0.7997017597868903,157.0,0.4745759563404785,157.0,0.4645716361662335
158,0.7943733595905101,158.0,0.5234578863496564,158.0,0.37468421380916606
159,0.9052270281428169,159.0,0.7371000007598915,159.0,0.4164356085387835
160,0.6179323693614984,160.0,0.5780456378002642,160.0,0.3726404745777188
161,0.804805346430846,161.0,0.6476348285942515,161.0,0.5466915044945203
162,0.8142720531374397,162.0,0.6555197668997962,162.0,0.5815387015367111
163,0.7116842120336941,163.0,0.5730915584011591,163.0,0.6495755274042812
164,0.7684290369510471,164.0,0.4093138837561667,164.0,0.4065580810884422
165,0.7874118327035501,165.0,0.416900586040107,165.0,0.5925437414493487
166,0.9270291780700144,166.0,0.3637809911624675,166.0,0.41849320538928925
167,0.7279240144357225,167.0,0.3632672217662068,167.0,0.6346317384674105
168,0.6987633640641312,168.0,0.4878828927894013,168.0,0.3834874162297278
169,0.8379922319316702,169.0,0.4481128893420957,169.0,0.42946294392036277
170,0.8864236836128835,170.0,0.37766619941886204,170.0,0.5728829106891982
171,0.7447883613146463,171.0,0.4395703974988608,171.0,0.6111755666897148
172,0.8571443153703845,172.0,0.5667716631682636,172.0,0.3800963048587872
173,0.7462752475965918,173.0,0.5395122321858377,173.0,0.45309320562054833
174,0.6005076564543942,174.0,0.5445710032306343,174.0,0.6510757228883146
175,0.7770258614106501,175.0,0.6059411968164189,175.0,0.6079349957561058
176,0.7892547818144551,176.0,0.5750662649844969,176.0,0.48101021003666133
177,0.9194507741305792,177.0,0.43332764668884954,177.0,0.3850357579759971
178,0.7661974240668941,178.0,0.4448694853145597,178.0,0.6279395019813692
179,0.7096167383581725,179.0,0.5826762757772379,179.0,0.36806795260560543
180,0.9204048482814084,180.0,0.6559467806029434,180.0,0.5140605621095349
181,0.8786195440791971,181.0,0.5639313522869529,181.0,0.49078818177974837
182,0.6186165696434204,182.0,0.5490394229789772,182.0,0.5481381953054368
