Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.8389321468298109,1.0,0.5675194660734149,1.0,0.5301446051167964
2,0.7112347052280311,2.0,0.41401557285873186,2.0,0.3686318131256952
3,0.7842046718576196,3.0,0.4696329254727475,3.0,0.38242491657397104
4,0.6186874304783093,4.0,0.3819799777530589,4.0,0.4816462736373748
5,0.8104560622914349,5.0,0.7019690776555796,5.0,0.6618464961067854
6,0.6987764182424916,6.0,0.4958843159065628,6.0,0.4229143492769744
7,0.6511679644048943,7.0,0.49321468298109006,7.0,0.4545050055617353
8,0.6471635150166852,8.0,0.39488320355951056,8.0,0.38046501514771514
9,0.5612903225806452,9.0,0.45272525027808674,9.0,0.4166852057842047
10,0.6080088987764182,10.0,0.5479421579532814,10.0,0.3819799777530589
11,0.7793103448275861,11.0,0.5755283648498332,11.0,0.3637374860956618
12,0.6885428253615128,12.0,0.42602892102335926,12.0,0.5185761957730812
13,0.8651835372636262,13.0,0.6373748609566184,13.0,0.39488320355951056
14,0.7672969966629588,14.0,0.5773081201334815,14.0,0.3686318131256952
15,0.7882091212458288,15.0,0.42469410456062295,15.0,0.3868743047830923
16,0.5448275862068965,16.0,0.7045606229143493,16.0,0.5661846496106785
17,0.8513904338153503,17.0,0.7032258064516129,17.0,0.4909899888765294
18,0.6364849833147942,18.0,0.46117908787541706,18.0,0.3993325917686318
19,0.6992213570634038,19.0,0.49988876529477194,19.0,0.3793103448275862
20,0.7655172413793103,20.0,0.37130144605116794,20.0,0.37619577308120133
21,0.7054505005561735,21.0,0.4852057842046719,21.0,0.3837597330367074
22,0.9114571746384873,22.0,0.5021134593993326,22.0,0.3730812013348164
23,0.714349276974416,23.0,0.4189098998887653,23.0,0.5243604004449388
24,0.7054505005561735,24.0,0.5888765294771968,24.0,0.41401557285873186
25,0.8651835372636262,25.0,0.6053392658509456,25.0,0.36106785317018913
26,0.5243604004449388,26.0,0.5163515016685205,26.0,0.4084992794217573
27,0.6382647385984427,27.0,0.5385984427141268,27.0,0.36907675194660733
28,0.6173526140155728,28.0,0.5897664071190212,28.0,0.40778642936596216
29,0.6280311457174638,29.0,0.46651835372636263,29.0,0.41846496106785314
30,0.6026696329254727,30.0,0.4650127962916518,30.0,0.3984427141268076
31,0.7503893214682981,31.0,0.5372636262513905,31.0,0.37174638487208006
32,0.8162402669632925,32.0,0.596440489432703,32.0,0.52880978865406
33,0.7757508342602891,33.0,0.5292547274749722,33.0,0.37708565072302563
34,0.8442714126807563,34.0,0.5804226918798664,34.0,0.4634037819799778
35,0.7210233592880979,35.0,0.5341490545050055,35.0,0.3632925472747497
36,0.703670745272525,36.0,0.5012235817575084,36.0,0.36355545891892777
37,0.7223581757508343,37.0,0.5977753058954393,37.0,0.38064516129032255
38,0.6008898776418242,38.0,0.5777530589543938,38.0,0.46568027877436713
39,0.7228031145717464,39.0,0.5279199110122358,39.0,0.46117908787541706
40,0.4567296996662959,40.0,0.40582934949089616,40.0,0.3837597330367074
41,0.7677419354838709,41.0,0.5648498331479421,41.0,0.42380422691879865
42,0.8229143492769745,42.0,0.47541713014460507,42.0,0.44293659621801995
43,0.850500556173526,43.0,0.4197997775305895,43.0,0.4318131256952169
44,0.7539488320355952,44.0,0.41490545050055616,44.0,0.3931034482758621
45,0.48748470654306664,45.0,0.5185761957730812,45.0,0.39221357063403783
46,0.7352614015572858,46.0,0.7388209121245829,46.0,0.5225806451612903
47,0.6320355951056729,47.0,0.48031145717463847,47.0,0.3957730812013348
48,0.7139043381535038,48.0,0.4245188590069242,48.0,0.4838709677419355
49,0.6627363737486095,49.0,0.4046718576195773,49.0,0.5105672969966629
50,0.7730812013348164,50.0,0.3650723025583982,50.0,0.44649610678531704
51,0.6667408231368186,51.0,0.5937708565072302,51.0,0.4398220244716351
52,0.6725250278086763,52.0,0.5550611790878754,52.0,0.5292547274749722
53,0.7201334816462737,53.0,0.41446051167964404,53.0,0.39265850945494996
54,0.8238042269187986,54.0,0.6204671857619577,54.0,0.3810901001112347
55,0.47141268075639603,55.0,0.45494994438264746,55.0,0.48075639599555064
56,0.657397107897664,56.0,0.4126807563959955,56.0,0.36511291804526347
57,0.6053392658509456,57.0,0.4117908787541713,57.0,0.49727444962289086
58,0.48476084538375974,58.0,0.48609566184649605,58.0,0.3650723025583982
59,0.6351501668520578,59.0,0.5114571746384872,59.0,0.6
60,0.7530589543937708,60.0,0.4295884315906563,60.0,0.5951056729699666
61,0.6231368186874304,61.0,0.6004449388209121,61.0,0.5377085650723026
62,0.875417130144605,62.0,0.6765294771968854,62.0,0.49499443826473855
63,0.868298109010011,63.0,0.47986651835372635,63.0,0.40093447795098397
64,0.5977753058954393,64.0,0.4897096481521176,64.0,0.41490545050055616
