Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7072302558398219,1.0,0.4887652947719689,1.0,0.575083426028921
2,0.7637374860956618,2.0,0.6218020022246942,2.0,0.6445655841420648
3,0.8945494994438264,3.0,0.3917686318131257,3.0,0.3668520578420467
4,0.47319243604004446,4.0,0.7770856507230256,4.0,0.3899888765294772
5,0.771301446051168,5.0,0.582202447163515,5.0,0.5804226918798664
6,0.7521690767519467,6.0,0.41005673854809294,6.0,0.7312569521690767
7,0.8447163515016683,7.0,0.45984427141268075,7.0,0.5455556825392968
8,0.760622914349277,8.0,0.48031145717463847,8.0,0.364182424916574
9,0.7383759733036708,9.0,0.3721913236929922,9.0,0.4825361512791991
10,0.7761957730812012,10.0,0.5208008898776418,10.0,0.539103351873049
11,0.6133481646273637,11.0,0.5724137931034483,11.0,0.38776418242491656
12,0.8723025583982202,12.0,0.5804226918798664,12.0,0.3681868743047831
13,0.611123470522803,13.0,0.5510567296996662,13.0,0.3693403071024603
14,0.6093437152391545,14.0,0.5790878754171301,14.0,0.5359884336203776
15,0.8375973303670745,15.0,0.3659621802002225,15.0,0.453615127919911
16,0.6760845383759733,16.0,0.41490545050055616,16.0,0.521245828698554
17,0.6413793103448275,17.0,0.4229143492769744,17.0,0.3979977753058954
18,0.8104560622914349,18.0,0.5283648498331479,18.0,0.4420467185761958
19,0.8460511679644049,19.0,0.6863181312569522,19.0,0.531924360400445
20,0.6671857619577308,20.0,0.4634037819799778,20.0,0.4166852057842047
21,0.7868743047830923,21.0,0.6903225806451613,21.0,0.44649610678531704
22,0.6404894327030033,22.0,0.40600667408231367,22.0,0.5154616240266964
23,0.6275862068965516,23.0,0.4972191323692992,23.0,0.4331479421579533
24,0.7735261401557285,24.0,0.5092324805339266,24.0,0.5986651835372636
25,0.6663700119107642,25.0,0.5065628476084539,25.0,0.41846496106785314
26,0.6271412680756396,26.0,0.6195773081201335,26.0,0.517686318131257
27,0.8117908787541713,27.0,0.7001112347052281,27.0,0.46206896551724136
28,0.7098998887652946,28.0,0.4518353726362625,28.0,0.36551724137931035
29,0.7058954393770857,29.0,0.6102335928809789,29.0,0.4402669632925473
30,0.6436040044493881,30.0,0.4642936596218019,30.0,0.6
31,0.7116796440489432,31.0,0.4407119021134594,31.0,0.44160177975528364
32,0.8077864293659621,32.0,0.4616240266963292,32.0,0.4696329254727475
33,0.4783624459459576,33.0,0.4522803114571746,33.0,0.38331479421579534
34,0.5599555061179087,34.0,0.6737123192206325,34.0,0.3997775305895439
35,0.5942157953281423,35.0,0.6529477196885429,35.0,0.4206896551724138
36,0.6244716351501668,36.0,0.40200222469410457,36.0,0.5434927697441602
37,0.6520578420467186,37.0,0.5488320355951056,37.0,0.4682981090100112
38,0.628921023359288,38.0,0.6631813125695216,38.0,0.4202447163515017
39,0.625361512791991,39.0,0.4780867630700778,39.0,0.40556173526140155
40,0.8126807563959955,40.0,0.4829810901001112,40.0,0.44694104560622916
41,0.7094549499443825,41.0,0.37245522535513165,41.0,0.5666295884315907
42,0.6120133481646273,42.0,0.489210233592881,42.0,0.6031145717463848
43,0.6591768631813125,43.0,0.489210233592881,43.0,0.41090100111234706
44,0.8420467185761957,44.0,0.43270300333704115,44.0,0.42602892102335926
45,0.7566184649610679,45.0,0.4794215795328142,45.0,0.3797552836484983
46,0.7263626251390434,46.0,0.6885428253615128,46.0,0.4553948832035596
47,0.6275862068965516,47.0,0.3686318131256952,47.0,0.3882091212458286
48,0.8687430478309233,48.0,0.4552230532118276,48.0,0.5461624026696329
49,0.6249165739710789,49.0,0.56440489432703,49.0,0.46562847608453833
50,0.760622914349277,50.0,0.4509454949944383,50.0,0.4545050055617353
51,0.5426028921023358,51.0,0.4131256952169076,51.0,0.37085650723025576
52,0.6151279199110122,52.0,0.5159065628476084,52.0,0.5733036707452726
53,0.646718576195773,53.0,0.40556173526140155,53.0,0.43715239154616237
54,0.5061179087875418,54.0,0.7041156840934372,54.0,0.5096774193548387
55,0.8589543937708565,55.0,0.3886540600667408,55.0,0.39888765294771966
56,0.7254727474972191,56.0,0.5296996662958843,56.0,0.48075639599555064
57,0.8731924360400445,57.0,0.5563959955506118,57.0,0.5234705228031146
58,0.6769744160177975,58.0,0.5541713014460512,58.0,0.47141268075639603
59,0.7846496106785317,59.0,0.621357063403782,59.0,0.43403781979977757
60,0.6858731924360401,60.0,0.49543937708565067,60.0,0.6880978865406007
61,0.7557285873192436,61.0,0.42869855394883205,61.0,0.41090100111234706
62,0.5523915461624027,62.0,0.5078976640711901,62.0,0.36551724137931035
63,0.5959955506117909,63.0,0.5074527252502781,63.0,0.43715239154616237
64,0.6725250278086763,64.0,0.5973303670745272,64.0,0.535483870967742
65,0.7477196885428253,65.0,0.5007786429365962,65.0,0.5586206896551724
66,0.7365962180200223,66.0,0.7601779755283649,66.0,0.43804226918798667
67,0.7868743047830923,67.0,0.5399332591768632,67.0,0.575083426028921
68,0.8282536151279198,68.0,0.3775305895439377,68.0,0.4451612903225806
69,0.5016685205784205,69.0,0.6662958843159065,69.0,0.38020022246941043
70,0.5261401557285873,70.0,0.643159065628476,70.0,0.3828698553948832
71,0.6125264249717308,71.0,0.6378197997775306,71.0,0.6
72,0.8375973303670745,72.0,0.36774193548387096,72.0,0.4392034736266606
73,0.521245828698554,73.0,0.4780867630700778,73.0,0.47897664071190205
74,0.5434927697441602,74.0,0.8140155728587318,74.0,0.4113459399332592
75,0.5813125695216907,75.0,0.625361512791991,75.0,0.5337041156840934
76,0.6378197997775306,76.0,0.41579532814238046,76.0,0.44783092324805335
77,0.7579532814238041,77.0,0.5145717463848721,77.0,0.4487208008898776
78,0.7512791991101224,78.0,0.3664071190211346,78.0,0.3846496106785317
79,0.48787541713014465,79.0,0.4206896551724138,79.0,0.6102335928809789
