Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.37268840924750524,1.0,0.5180076013569489,1.0,0.4761986315463318
2,0.9817888405633362,2.0,0.45439186945186166,2.0,0.9111164064579671
3,0.8962958676503376,3.0,0.9262429160473613,3.0,0.7096411522634128
4,0.4367131334215965,4.0,0.44014157657496344,4.0,0.4647360783957873
5,0.6643745033506366,5.0,0.37968749185410133,5.0,0.5354286527079726
6,0.4138661139340584,6.0,0.5300118757350583,6.0,0.9901058755644727
7,0.987147931330686,7.0,0.6572007208969115,7.0,0.7895437809604458
8,0.9721091923065176,8.0,0.38589301814847216,8.0,0.7034449291874763
9,0.9470228816691327,9.0,0.5270983599681853,9.0,0.7958411120537022
10,0.6237654526851932,10.0,0.6012152123231466,10.0,0.4454281548944515
11,0.8222267988114913,11.0,0.6187181613880784,11.0,0.6411089528669968
12,0.7407280812708336,12.0,0.9256496380098891,12.0,0.7665704539643331
13,0.8828081928340419,13.0,0.9097580927711512,13.0,0.9984409244371841
14,0.9288490909229555,14.0,0.42150668572336597,14.0,0.44497332151501057
15,0.947491154227329,15.0,0.6303260027629585,15.0,0.6048977393383596
16,0.6386437255630849,16.0,0.6567594798422528,16.0,0.39253389375898495
17,0.8414275563552416,17.0,0.7265564877271374,17.0,0.4707467403853866
18,0.8547882439530328,18.0,0.8647182558497488,18.0,0.8643469317287661
19,0.8007515509332543,19.0,0.9122410512876298,19.0,0.5543511637411663
20,0.5386250449746051,20.0,0.48755844260752035,20.0,0.5817618868620257
21,0.6123537903745888,21.0,0.5680095437832354,21.0,0.4197097673370528
22,0.785038457935725,22.0,0.3835397911118565,22.0,0.9479290295181363
23,0.7006672025527815,23.0,0.43922181903752877,23.0,0.7071385549124095
24,0.983372204809414,24.0,0.78658364377169,24.0,0.3993054635687771
25,0.7200278031584668,25.0,0.5515724614028258,25.0,0.5953052548505035
26,0.7077282202192975,26.0,0.38229279640362535,26.0,0.6511269635504422
27,0.8745527935653151,27.0,0.39295640483959454,27.0,0.5675592831259963
28,0.8035007617049731,28.0,0.5971962193165308,28.0,0.4746616871973681
29,0.8973325325916685,29.0,0.8692062331600161,29.0,0.7713961270727001
30,0.5114916919686214,30.0,0.4621212068314715,30.0,0.8779243145877882
31,0.6798632553041452,31.0,0.881007683607463,31.0,0.7206701579736109
32,0.7226724700554514,32.0,0.4153716826879405,32.0,0.5239268557949949
33,0.8247318172221793,33.0,0.9171053620677538,33.0,0.5774668652564774
34,0.37153160482149733,34.0,0.7871872642671064,34.0,0.9012222662076428
35,0.398615049872044,35.0,0.501810437248528,35.0,0.6788891161621521
36,0.571675995160848,36.0,0.9566255903755364,36.0,0.4929870664409069
37,0.5433822469122261,37.0,0.8030965944129594,37.0,0.6162800286402794
38,0.37671612439791063,38.0,0.7649964746172373,38.0,0.9955539940954317
39,0.9030249830751449,39.0,0.5027041229011454,39.0,0.4526158733953858
40,0.6417781993198495,40.0,0.5383059598910148,40.0,0.5100271223813266
41,0.8361688536434002,41.0,0.8029709576974681,41.0,0.6684926622535143
42,0.9995899269071633,42.0,0.8606806448612039,42.0,0.5436987610239237
43,0.7934658386358205,43.0,0.40798082266122854,43.0,0.47304189801560614
44,0.8070560639455815,44.0,0.5353341277934978,44.0,0.6357001909283017
45,0.9064992717378509,45.0,0.6346521044298402,45.0,0.8630298709073604
46,0.5870105297364886,46.0,0.4303552607322953,46.0,0.45600233249436906
47,0.7287377752034906,47.0,0.8558857684737108,47.0,0.9599456771649647
48,0.7580728984034367,48.0,0.8718421518804707,48.0,0.6272047563396943
49,0.9372105410297652,49.0,0.7415006768408284,49.0,0.627471781525326
50,0.9626722395938079,50.0,0.838783054879829,50.0,0.9125310957555133
51,0.8048938509901807,51.0,0.8171501676514179,51.0,0.815356928032165
52,0.7145494737481249,52.0,0.7419039591127556,52.0,0.545713517332773
53,0.7349567037924861,53.0,0.8597221723129342,53.0,0.5418840923599217
54,0.7853802297347503,54.0,0.8192009578825357,54.0,0.5159712894729561
55,0.5731071573093228,55.0,0.8317033096486232,55.0,0.981428781627741
56,0.8537334630652837,56.0,0.8474382649573527,56.0,0.7758874593452921
57,0.7222054350732088,57.0,0.8658103133375674,57.0,0.5278640205332499
58,0.36371370442771017,58.0,0.6124156259547776,58.0,0.5577930293375091
59,0.45577893435655303,59.0,0.4500112931357294,59.0,0.7040278295491038
60,0.47970134017550914,60.0,0.4899717547417569,60.0,0.49972175211860836
61,0.832780692615029,61.0,0.42042396314030855,61.0,0.7574743777179047
62,0.6126406615375789,62.0,0.6126121267846215,62.0,0.48568362549935923
63,0.6277677866399907,63.0,0.9820182027669792,63.0,0.6445109946508272
64,0.8553581911696204,64.0,0.9361313988899428,64.0,0.9085049184904678
65,0.47506046026760496,65.0,0.40843114768668876,65.0,0.38157537343080933
66,0.6181110843170918,66.0,0.7069293430151945,66.0,0.44868001403145996
67,0.8767324916494371,67.0,0.5486794825203852,67.0,0.5303909040431873
68,0.4054057232263073,68.0,0.7017117098627303,68.0,0.756416288653749
69,0.9771084361310624,69.0,0.8194451614197779,69.0,0.39805198262057706
70,0.9538220252700339,70.0,0.4284175105267722,70.0,0.970417866299045
71,0.854372836535266,71.0,0.5607378588819693,71.0,0.8305142679072176
72,0.7460034642757858,72.0,0.4022994219164097,72.0,0.8978759345400197
73,0.7402134983879949,73.0,0.4845514276005672,73.0,0.6848666041251958
74,0.9716393530786436,74.0,0.7216274495272444,74.0,0.6041880445102442
75,0.6956614505543707,75.0,0.665986590306929,75.0,0.6708013583034133
76,0.9337467490858136,76.0,0.975176893835634,76.0,0.8759395984684641
77,0.7914929771930406,77.0,0.47041550640462315,77.0,0.3778690162525524
78,0.43623994614136247,78.0,0.7944330471025556,78.0,0.6319216203324226
79,0.3670185198539081,79.0,0.8176850708067892,79.0,0.5085724698828843
80,0.3822740161364968,80.0,0.8183928444046665,80.0,0.6485725040169743
81,0.8635273485863697,81.0,0.4697757166096915,81.0,0.9972727759344964
82,0.6761245402665146,82.0,0.9082675632954454,82.0,0.5777852140866114
83,0.7921220083407386,83.0,0.9279473253125579,83.0,0.36721164451035637
84,0.9086611986860648,84.0,0.5555995071912396,84.0,0.6083585281386079
85,0.8938622636758685,85.0,0.822560961135223,85.0,0.8080127774519881
86,0.8227123627815659,86.0,0.60221363420544,86.0,0.9951580454246188
87,0.7492958978067564,87.0,0.5864582661282491,87.0,0.3727184017005275
88,0.5324114105985455,88.0,0.9669541955173562,88.0,0.47683142211816604
89,0.41769519992891874,89.0,0.4256026912165599,89.0,0.6576321483142643
90,0.6091553536163041,90.0,0.6277683741229706,90.0,0.3978273403197423
91,0.37284953540180227,91.0,0.4590585525668421,91.0,0.7682132628752188
92,0.7835845380484755,92.0,0.5035251630716806,92.0,0.4439093061511185
93,0.5237790058108812,93.0,0.9580229163150682,93.0,0.4757148590393643
94,0.6549068923668202,94.0,0.4989589171176361,94.0,0.8081005246578444
95,0.9632328688089642,95.0,0.5017073766500866,95.0,0.47126532072413096
96,0.9998361178531298,96.0,0.9384443496989037,96.0,0.6131187416440762
