Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.7339265850945496,1.0,0.4309232480533926,1.0,0.48209121245828696
2,0.6013348164627365,2.0,0.4821448466813443,2.0,0.37664071190211346
3,0.671635150166852,3.0,0.4958843159065628,3.0,0.47363737486095664
4,0.44916573971078977,4.0,0.49365962180200224,4.0,0.4883203559510568
5,0.8015572858731924,5.0,0.7579532814238041,5.0,0.36240266963292544
6,0.5844271412680757,6.0,0.6787541713014461,6.0,0.3739710789766407
7,0.7486095661846496,7.0,0.41935483870967744,7.0,0.5604004449388209
8,0.5345939933259177,8.0,0.6867630700778643,8.0,0.37174638487208006
9,0.5728587319243604,9.0,0.38020022246941043,9.0,0.4705228031145718
10,0.7437152391546161,10.0,0.5030033370411569,10.0,0.4838709677419355
11,0.8456062291434927,11.0,0.49454949944382637,11.0,0.36106785317018913
12,0.8331479421579533,12.0,0.4767519466073415,12.0,0.5096774193548387
13,0.5937708565072302,13.0,0.40111234705228027,13.0,0.40867630700778645
14,0.5136818687430478,14.0,0.5657397107897664,14.0,0.4411568409343715
15,0.7530589543937708,15.0,0.5145717463848721,15.0,0.4002224694104561
16,0.6787541713014461,16.0,0.4202447163515017,16.0,0.39488320355951056
17,0.689432703003337,17.0,0.4901001112347052,17.0,0.44827586206896547
18,0.5546162402669632,18.0,0.4558398220244716,18.0,0.37441601779755285
19,0.39488320355951056,19.0,0.46073414905450494,19.0,0.5359288097886541
20,0.47274749721913245,20.0,0.44382647385984425,20.0,0.5208008898776418
21,0.6533926585094549,21.0,0.48075639599555064,21.0,0.4175750834260289
22,0.7352614015572858,22.0,0.42869855394883205,22.0,0.6734149054505005
23,0.5621802002224694,23.0,0.5078976640711901,23.0,0.6044493882091213
24,0.6738598442714127,24.0,0.6418242491657397,24.0,0.6311457174638487
25,0.6387096774193549,25.0,0.511012235817575,25.0,0.3837597330367074
26,0.7535877229855621,26.0,0.521245828698554,26.0,0.4313681868743047
27,0.8144605116796441,27.0,0.45494994438264746,27.0,0.49632925472747497
28,0.7072302558398219,28.0,0.3957730812013348,28.0,0.5724137931034483
29,0.7370411568409344,29.0,0.6854282536151279,29.0,0.4700778642936596
30,0.7303670745272525,30.0,0.4220244716351501,30.0,0.47141268075639603
31,0.625361512791991,31.0,0.5167964404894326,31.0,0.614238042269188
32,0.6360400444938822,32.0,0.6427141268075639,32.0,0.4362625139043382
33,0.5372636262513905,33.0,0.3917686318131257,33.0,0.41401557285873186
34,0.6453837597330366,34.0,0.43759733036707454,34.0,0.6022916935700964
35,0.6369299221357063,35.0,0.7294771968854282,35.0,0.3890989988876529
36,0.6703003337041158,36.0,0.4576195773081201,36.0,0.4896551724137932
37,0.5884315906562848,37.0,0.4496106785317019,37.0,0.6080088987764182
38,0.7726362625139044,38.0,0.7432703003337041,38.0,0.46607341490545046
39,0.7775305895439377,39.0,0.44160177975528364,39.0,0.5056729699666296
40,0.7254727474972191,40.0,0.4278086763070078,40.0,0.5270300333704115
41,0.7005561735261402,41.0,0.5448275862068965,41.0,0.49632925472747497
42,0.703670745272525,42.0,0.47925242258957806,42.0,0.4211345939933259
43,0.5154616240266964,43.0,0.49543937708565067,43.0,0.5086216518290507
44,0.5087875417130144,44.0,0.6169763081898328,44.0,0.38509454949944383
45,0.44827586206896547,45.0,0.4264738598442714,45.0,0.43359288097886545
46,0.6240266963292548,46.0,0.40155728587319245,46.0,0.4068965517241379
47,0.7161290322580645,47.0,0.5835372636262514,47.0,0.5061179087875418
48,0.6084538375973303,48.0,0.41846496106785314,48.0,0.6093437152391545
49,0.7882091212458288,49.0,0.5621802002224694,49.0,0.4923248053392658
50,0.46073414905450494,50.0,0.3864293659621802,50.0,0.5430478309232479
51,0.8162402669632925,51.0,0.593325917686318,51.0,0.43403781979977757
52,0.49766407119021133,52.0,0.46918798665183536,52.0,0.36106785317018913
53,0.49632925472747497,53.0,0.3699666295884316,53.0,0.4545050055617353
54,0.8843159065628475,54.0,0.6315906562847609,54.0,0.5328142380422692
55,0.6097886540600668,55.0,0.6774193548387096,55.0,0.5394883203559511
56,0.8327030033370411,56.0,0.41401557285873186,56.0,0.49899888765294764
57,0.6880978865406007,57.0,0.4647385984427141,57.0,0.41446051167964404
58,0.617797552836485,58.0,0.5430478309232479,58.0,0.3904338153503893
59,0.582202447163515,59.0,0.5350389321468298,59.0,0.3633329647580227
60,0.7935483870967741,60.0,0.4273637374860957,60.0,0.4362625139043382
61,0.6373748609566184,61.0,0.6849833147942158,61.0,0.5848720800889877
62,0.6627363737486095,62.0,0.4126807563959955,62.0,0.5737486095661846
63,0.7201334816462737,63.0,0.3837597330367074,63.0,0.4473859844271412
64,0.6333704115684093,64.0,0.4909899888765294,64.0,0.4091212458286986
65,0.7784204671857619,65.0,0.7294771968854282,65.0,0.43804226918798667
66,0.49632925472747497,66.0,0.5697441601779756,66.0,0.457174638487208
67,0.6956618464961067,67.0,0.4496106785317019,67.0,0.4407119021134594
68,0.6329254727474972,68.0,0.6511679644048943,68.0,0.5577308120133482
69,0.5239154616240267,69.0,0.44293659621801995,69.0,0.4006674082313682
70,0.8295884315906562,70.0,0.6876529477196887,70.0,0.5452725250278087
71,0.5381535038932147,71.0,0.5163515016685205,71.0,0.43715239154616237
72,0.4264738598442714,72.0,0.4473859844271412,72.0,0.41090100111234706
73,0.4905450500556173,73.0,0.5466681533438222,73.0,0.43403781979977757
74,0.7303670745272525,74.0,0.5310344827586206,74.0,0.5474972191323693
75,0.4042269187986652,75.0,0.4525531232809665,75.0,0.48654060066740823
76,0.6235817575083425,76.0,0.42869855394883205,76.0,0.506619204380905
77,0.7054505005561735,77.0,0.3793103448275862,77.0,0.40556173526140155
78,0.6351501668520578,78.0,0.5132369299221357,78.0,0.4567296996662959
79,0.5808676307007786,79.0,0.5595105672969966,79.0,0.3793103448275862
80,0.6284760845383759,80.0,0.5332591768631813,80.0,0.3979977753058954
81,0.6151279199110122,81.0,0.4282536151279199,81.0,0.6053392658509456
82,0.8135706340378197,82.0,0.4589543937708565,82.0,0.49543937708565067
83,0.5399332591768632,83.0,0.4593993325917686,83.0,0.4967741935483871
84,0.7045606229143493,84.0,0.8388029866122141,84.0,0.4901001112347052
85,0.7032258064516129,85.0,0.41579532814238046,85.0,0.36551724137931035
86,0.7183537263626251,86.0,0.6680756395995551,86.0,0.5248053392658508
87,0.6916573971078976,87.0,0.46562847608453833,87.0,0.6520578420467186
88,0.8028921023359289,88.0,0.5710789766407119,88.0,0.37130144605116794
89,0.6347052280311457,89.0,0.6200222469410456,89.0,0.3637374860956618
90,0.6209121245828698,90.0,0.4269187986651835,90.0,0.3721913236929922
91,0.7130144605116796,91.0,0.592880978865406,91.0,0.6952169076751946
92,0.52880978865406,92.0,0.3753058954393771,92.0,0.4229143492769744
93,0.5230255839822024,93.0,0.6137931034482759,93.0,0.44916573971078977
94,0.5902113459399333,94.0,0.5581757508342603,94.0,0.6129032258064516
95,0.7303670745272525,95.0,0.37263626251390436,95.0,0.6342602892102336
96,0.617797552836485,96.0,0.507007786429366,96.0,0.5016685205784205
97,0.821579532814238,97.0,0.36774193548387096,97.0,0.5474972191323693
98,0.867853170189099,98.0,0.3886540600667408,98.0,0.5675194660734149
99,0.5167964404894326,99.0,0.4451612903225806,99.0,0.40734149054505003
100,0.5417130144605116,100.0,0.4705228031145718,100.0,0.4131256952169076
101,0.5038932146829811,101.0,0.6031145717463848,101.0,0.4278086763070078
102,0.8344827586206897,102.0,0.40734149054505003,102.0,0.48476084538375974
103,0.771301446051168,103.0,0.4580645161290322,103.0,0.6840934371523915
104,0.7379310344827587,104.0,0.5528364849833148,104.0,0.6204671857619577
105,0.7681868743047832,105.0,0.48031145717463847,105.0,0.7130144605116796
106,0.539043381535039,106.0,0.37842046718576194,106.0,0.37619577308120133
107,0.6458286985539488,107.0,0.45850945494994433,107.0,0.4064516129032258
108,0.7535038932146829,108.0,0.3975528364849833,108.0,0.36284760845383757
109,0.6636262513904337,109.0,0.5019468270018979,109.0,0.4278086763070078
