Index3,Corr_Value3,Index4,Corr_Value4,Index5,Corr_Value5
1,0.760622914349277,1.0,0.6314384286486641,1.0,0.3886540600667408
2,0.9145717463848719,2.0,0.7423804226918799,2.0,0.52880978865406
3,0.7530589543937708,3.0,0.4545050055617353,3.0,0.5003337041156841
4,0.7704115684093437,4.0,0.40111234705228027,4.0,0.5105672969966629
5,0.5835372636262514,5.0,0.47141268075639603,5.0,0.44338153503893213
6,0.43403781979977757,6.0,0.5571253789063618,6.0,0.3917686318131257
7,0.7023359288097887,7.0,0.40511679644048937,7.0,0.45494994438264746
8,0.7027808676307008,8.0,0.38954393770856505,8.0,0.37263626251390436
9,0.8224694104560623,9.0,0.36952169076751945,9.0,0.38509454949944383
10,0.567964404894327,10.0,0.6378197997775306,10.0,0.375570143607803
11,0.7957730812013347,11.0,0.6685205784204672,11.0,0.3619577308120133
12,0.5546162402669632,12.0,0.5048392510936641,12.0,0.517686318131257
13,0.8055617352614016,13.0,0.40289210233592887,13.0,0.3975528364849833
14,0.7383759733036708,14.0,0.5924360400444939,14.0,0.3619577308120133
15,0.457174638487208,15.0,0.6244716351501668,15.0,0.403781979977753
16,0.7041156840934372,16.0,0.628921023359288,16.0,0.5626251390433815
17,0.56440489432703,17.0,0.5350389321468298,17.0,0.385539488320356
18,0.6778642936596218,18.0,0.5399332591768632,18.0,0.5038932146829811
19,0.6320355951056729,19.0,0.5902770088812213,19.0,0.4634037819799778
20,0.7112347052280311,20.0,0.38509454949944383,20.0,0.4100111234705228
21,0.5781979977753059,21.0,0.5123470522803114,21.0,0.40333704115684094
22,0.7156840934371523,22.0,0.42380422691879865,22.0,0.4794215795328142
23,0.6355951056729701,23.0,0.6062291434927697,23.0,0.4362625139043382
24,0.7254727474972191,24.0,0.5492769744160179,24.0,0.43359288097886545
25,0.5434927697441602,25.0,0.5046167569327591,25.0,0.48698553948832035
26,0.6164627363737486,26.0,0.41357063403781974,26.0,0.4513904338153503
27,0.6320355951056729,27.0,0.39158972319297,27.0,0.4651835372636262
28,0.6222469410456063,28.0,0.8122358175750835,28.0,0.3890989988876529
29,0.6360400444938822,29.0,0.5626251390433815,29.0,0.432258064516129
30,0.7259176863181313,30.0,0.646718576195773,30.0,0.6164627363737486
31,0.8447163515016683,31.0,0.4117908787541713,31.0,0.4082313681868743
32,0.5870967741935484,32.0,0.44293659621801995,32.0,0.3681868743047831
33,0.7539488320355952,33.0,0.4122358175750834,33.0,0.6484983314794216
34,0.453615127919911,34.0,0.4175750834260289,34.0,0.364182424916574
35,0.5959955506117909,35.0,0.385539488320356,35.0,0.49766407119021133
36,0.4905450500556173,36.0,0.418020022246941,36.0,0.40556173526140155
37,0.7459399332591768,37.0,0.4091212458286986,37.0,0.4576195773081201
38,0.6151279199110122,38.0,0.5955506117908788,38.0,0.39265850945494996
39,0.6738598442714127,39.0,0.3753058954393771,39.0,0.3681868743047831
40,0.5537263626251391,40.0,0.44827586206896547,40.0,0.4451612903225806
41,0.5221357063403782,41.0,0.453615127919911,41.0,0.6258064516129032
