Type,ka,Species
Speciation_gene_pairs_same_direction,0.117803,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.101959,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.122522,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0950584,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.254508,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.104083,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.118169,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.177726,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.179563,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.15696,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.19522,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0921314,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0395178,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1424,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0883824,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.112759,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.18148,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.040058,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0873173,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.118986,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.23091,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.170543,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.158553,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0306278,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.088205,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.147416,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.226922,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.102021,M. lutarioriparius
