Type,ka,Species
Speciation_gene_pairs_same_direction,0.1477,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0265,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3489,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3422,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.238,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0881,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1509,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0704,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2221,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0715,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1417,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1507,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0714,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1168,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1561,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.181,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2538,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1067,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1572,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3254,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2663,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1097,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.119,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2461,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2864,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.148,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1694,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2493,M. lutarioriparius
