Type,ka,Species
Speciation_gene_pairs_same_direction,0.1215,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3364,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3283,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2424,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4071,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1009,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1612,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2807,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1695,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1463,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1767,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2003,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0678,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2462,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.239,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1123,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4155,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3139,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1002,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2268,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0838,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1494,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.5161,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1423,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0776,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0462,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2717,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0481,M. lutarioriparius
