Type,ks,Species
Speciation_gene_pairs_same_direction,0.8681,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.5992,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.7502,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.7393,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6856,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6432,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9883,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9633,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.7927,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.0025,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9087,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.8184,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.5573,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6813,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.5524,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.8332,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9923,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6505,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.3092,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.5317,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.1214,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6516,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.1134,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.5985,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3523,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.8669,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.7085,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6371,M. lutarioriparius
