Type,ks,Species
Speciation_gene_pairs_same_direction,0.8212,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.418,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9268,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6216,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.5254,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.093,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.8739,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6633,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.7706,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.8587,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6489,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6557,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6816,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.3075,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.1506,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.0183,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.728,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.7281,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.3426,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6345,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6765,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.8612,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.0186,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.2565,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.6028,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.9571,M. lutarioriparius
Speciation_gene_pairs_same_direction,2.5343,M. lutarioriparius
Speciation_gene_pairs_same_direction,1.2189,M. lutarioriparius
