Type,omega,Species
Speciation_gene_pairs_same_direction,0.375584,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.156118,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0394481,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.344382,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0291107,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.142631,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.209133,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0578498,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.132989,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.205694,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.115015,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.251522,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.120467,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.108377,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0684621,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0999483,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.337716,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.21122,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.105597,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.147001,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.181709,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.113819,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.235692,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.126502,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0822768,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.304056,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.12372,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.207958,M. lutarioriparius
