Type,omega,Species
Speciation_gene_pairs_same_direction,0.2341,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1954,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.263,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1651,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0387,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1071,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1847,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0569,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1605,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1069,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.232,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1667,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1601,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0956,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2183,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1145,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.4061,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0234,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.135,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.214,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.2494,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3893,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0558,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.1025,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0559,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.3405,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0223,M. lutarioriparius
Speciation_gene_pairs_same_direction,0.0401,M. lutarioriparius
