Type,method,ka,species
Speciation_gene_pairs_inverse_direction,mean,0.18749592,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.157,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.13281066934829758,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.1793441386483189,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.1603,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.10151344602501965,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.17479049,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.1485,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.12048191142100065,A. splendens
Speciation_gene_pairs_same_direction,mean,0.16350198200000002,A. splendens
Speciation_gene_pairs_same_direction,median,0.1447,A. splendens
Speciation_gene_pairs_same_direction,std,0.09436828790937639,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.17249073,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.1484,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.10682822128048974,A. searsii
Speciation_gene_pairs_same_direction,mean,0.174843502,A. searsii
Speciation_gene_pairs_same_direction,median,0.15585,A. searsii
Speciation_gene_pairs_same_direction,std,0.09641803595245607,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.17463771,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.1431,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.11931433552604688,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.176429172,A. aequalis
Speciation_gene_pairs_same_direction,median,0.1572,A. aequalis
Speciation_gene_pairs_same_direction,std,0.09618574071518463,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.17309468,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.1457,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.1197066203148025,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.16809073400000002,A. sativa.ot3098
