Type,method,ks,species
Speciation_gene_pairs_inverse_direction,mean,1.2609178679950186,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.997033,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.6418513230759713,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,1.1820249061178043,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.955059,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.5922133788050316,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,1.1724843137135181,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.849874,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.6992250554063902,A. splendens
Speciation_gene_pairs_same_direction,mean,1.0381950832372555,A. splendens
Speciation_gene_pairs_same_direction,median,0.801945,A. splendens
Speciation_gene_pairs_same_direction,std,0.5898965776443907,A. splendens
Speciation_gene_pairs_inverse_direction,mean,1.255978415146709,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.9805035,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.6775616726707826,A. searsii
Speciation_gene_pairs_same_direction,mean,1.152730003533569,A. searsii
Speciation_gene_pairs_same_direction,median,0.915664,A. searsii
Speciation_gene_pairs_same_direction,std,0.6008046533191985,A. searsii
Speciation_gene_pairs_inverse_direction,mean,1.214020654002892,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.990086,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.635340997240945,A. aequalis
Speciation_gene_pairs_same_direction,mean,1.1691458437336129,A. aequalis
Speciation_gene_pairs_same_direction,median,0.916586,A. aequalis
Speciation_gene_pairs_same_direction,std,0.6149755823717344,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,1.1435914968216376,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.900305,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.6032996410684759,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,1.083975628581323,A. sativa.ot3098
