Type,method,ks,species
Speciation_gene_pairs_inverse_direction,mean,0.8918793709236271,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.8075,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.3097504803249037,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.8427775299395037,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.7835,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.26034487586154453,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.7710670260651105,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.6906,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.2982801281278603,A. splendens
Speciation_gene_pairs_same_direction,mean,0.7311157891524597,A. splendens
Speciation_gene_pairs_same_direction,median,0.6711,A. splendens
Speciation_gene_pairs_same_direction,std,0.2518881633400734,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.8405784802242292,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.7786,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.28510248011234857,A. searsii
Speciation_gene_pairs_same_direction,mean,0.8189127821716922,A. searsii
Speciation_gene_pairs_same_direction,median,0.7525,A. searsii
Speciation_gene_pairs_same_direction,std,0.2682556094848525,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.8386624645743675,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.7674,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.28578646562829835,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.8183635527232491,A. aequalis
Speciation_gene_pairs_same_direction,median,0.7565,A. aequalis
Speciation_gene_pairs_same_direction,std,0.2618144134028031,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.8311978140361886,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.7719,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.2636639568596633,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.8075995410692067,A. sativa.ot3098
