Type,method,ks,species
Speciation_gene_pairs_inverse_direction,mean,1.1933976962676962,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.9361,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.6359290226871538,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,1.1160369312370668,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.8622,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.6017653815590118,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,1.0967989696969698,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.766,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.6994740480038698,A. splendens
Speciation_gene_pairs_same_direction,mean,0.9870826980252939,A. splendens
Speciation_gene_pairs_same_direction,median,0.7277,A. splendens
Speciation_gene_pairs_same_direction,std,0.6014391587250291,A. splendens
Speciation_gene_pairs_inverse_direction,mean,1.130669325887515,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.9046,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.5999145840080201,A. searsii
Speciation_gene_pairs_same_direction,mean,1.0985090302111942,A. searsii
Speciation_gene_pairs_same_direction,median,0.8318,A. searsii
Speciation_gene_pairs_same_direction,std,0.6218264287753608,A. searsii
Speciation_gene_pairs_inverse_direction,mean,1.1424466717000126,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.8973,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.628711366908035,A. aequalis
Speciation_gene_pairs_same_direction,mean,1.092954417540779,A. aequalis
Speciation_gene_pairs_same_direction,median,0.8365,A. aequalis
Speciation_gene_pairs_same_direction,std,0.6057841129308448,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,1.0890090503899963,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.8275,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.6124437035603865,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,1.0169157018004245,A. sativa.ot3098
