Type,method,omega,species
Speciation_gene_pairs_inverse_direction,mean,0.18512835,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.178,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.20869355624771793,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.20626707602456149,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.1945,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.16161538078407323,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.19859369999999998,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.19014999999999999,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.2026764324482179,A. splendens
Speciation_gene_pairs_same_direction,mean,0.221647262,A. splendens
Speciation_gene_pairs_same_direction,median,0.206,A. splendens
Speciation_gene_pairs_same_direction,std,0.15814531172341392,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.19304032999999998,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.1838,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.1970108610367154,A. searsii
Speciation_gene_pairs_same_direction,mean,0.20722003400000003,A. searsii
Speciation_gene_pairs_same_direction,median,0.1976,A. searsii
Speciation_gene_pairs_same_direction,std,0.1815186981652148,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.18463733999999998,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.1766,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.20310326075958876,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.21047746599999997,A. aequalis
Speciation_gene_pairs_same_direction,median,0.1995,A. aequalis
Speciation_gene_pairs_same_direction,std,0.1620773592240027,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.18277885,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.1749,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.18518127406437165,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.201611786,A. sativa.ot3098
