Type,method,omega,species
Speciation_gene_pairs_inverse_direction,mean,0.13726662,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,median,0.1134,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,std,0.10388441828788332,M. lutarioriparius
Speciation_gene_pairs_same_direction,mean,0.16094569582783314,M. lutarioriparius
Speciation_gene_pairs_same_direction,median,0.1376,M. lutarioriparius
Speciation_gene_pairs_same_direction,std,0.11013824092158768,M. lutarioriparius
Speciation_gene_pairs_inverse_direction,mean,0.15806577,A. splendens
Speciation_gene_pairs_inverse_direction,median,0.1291,A. splendens
Speciation_gene_pairs_inverse_direction,std,0.11476439140195235,A. splendens
Speciation_gene_pairs_same_direction,mean,0.181403282,A. splendens
Speciation_gene_pairs_same_direction,median,0.15745,A. splendens
Speciation_gene_pairs_same_direction,std,0.12160989152343925,A. splendens
Speciation_gene_pairs_inverse_direction,mean,0.13469092,A. searsii
Speciation_gene_pairs_inverse_direction,median,0.1103,A. searsii
Speciation_gene_pairs_inverse_direction,std,0.0993961193729831,A. searsii
Speciation_gene_pairs_same_direction,mean,0.164078354,A. searsii
Speciation_gene_pairs_same_direction,median,0.1389,A. searsii
Speciation_gene_pairs_same_direction,std,0.11294296848203199,A. searsii
Speciation_gene_pairs_inverse_direction,mean,0.14011553,A. aequalis
Speciation_gene_pairs_inverse_direction,median,0.1195,A. aequalis
Speciation_gene_pairs_inverse_direction,std,0.09852839813141648,A. aequalis
Speciation_gene_pairs_same_direction,mean,0.167075058,A. aequalis
Speciation_gene_pairs_same_direction,median,0.1432,A. aequalis
Speciation_gene_pairs_same_direction,std,0.11192670438925499,A. aequalis
Speciation_gene_pairs_inverse_direction,mean,0.14878925999999998,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,median,0.12955,A. sativa.ot3098
Speciation_gene_pairs_inverse_direction,std,0.10721468851605995,A. sativa.ot3098
Speciation_gene_pairs_same_direction,mean,0.172112268,A. sativa.ot3098
