Type,ka
Speciation_gene_pairs_same_direction,0.325243
Speciation_gene_pairs_same_direction,0.10845
Speciation_gene_pairs_same_direction,0.128786
Speciation_gene_pairs_same_direction,0.0651227
Speciation_gene_pairs_same_direction,0.138899
Speciation_gene_pairs_same_direction,0.169393
Speciation_gene_pairs_same_direction,0.105431
Speciation_gene_pairs_same_direction,0.124504
Speciation_gene_pairs_same_direction,0.0165466
Speciation_gene_pairs_same_direction,0.309309
Speciation_gene_pairs_same_direction,0.275332
Speciation_gene_pairs_same_direction,0.170552
Speciation_gene_pairs_same_direction,0.126711
Speciation_gene_pairs_same_direction,0.138466
Speciation_gene_pairs_same_direction,0.0990489
Speciation_gene_pairs_same_direction,0.192474
Speciation_gene_pairs_same_direction,0.0525232
Speciation_gene_pairs_same_direction,0.0871357
Speciation_gene_pairs_same_direction,0.0727047
Speciation_gene_pairs_same_direction,0.0796744
Speciation_gene_pairs_same_direction,0.136508
Speciation_gene_pairs_same_direction,0.0818333
Speciation_gene_pairs_same_direction,0.173751
Speciation_gene_pairs_same_direction,0.244406
Speciation_gene_pairs_same_direction,0.167201
Speciation_gene_pairs_same_direction,0.0532549
Speciation_gene_pairs_same_direction,0.193168
Speciation_gene_pairs_same_direction,0.132718
