Type,omega
Speciation_gene_pairs_same_direction,0.086486
Speciation_gene_pairs_same_direction,0.0530386
Speciation_gene_pairs_same_direction,0.0705555
Speciation_gene_pairs_same_direction,0.0185157
Speciation_gene_pairs_same_direction,0.0169177
Speciation_gene_pairs_same_direction,0.275594
Speciation_gene_pairs_same_direction,0.166845
Speciation_gene_pairs_same_direction,0.0335014
Speciation_gene_pairs_same_direction,0.279496
Speciation_gene_pairs_same_direction,0.27115
Speciation_gene_pairs_same_direction,0.257566
Speciation_gene_pairs_same_direction,0.0687513
Speciation_gene_pairs_same_direction,0.0201172
Speciation_gene_pairs_same_direction,0.192535
Speciation_gene_pairs_same_direction,0.0345763
Speciation_gene_pairs_same_direction,0.0175925
Speciation_gene_pairs_same_direction,0.0591141
Speciation_gene_pairs_same_direction,0.199977
Speciation_gene_pairs_same_direction,0.13372
Speciation_gene_pairs_same_direction,0.0855481
Speciation_gene_pairs_same_direction,0.25794
Speciation_gene_pairs_same_direction,0.301698
Speciation_gene_pairs_same_direction,0.178651
Speciation_gene_pairs_same_direction,0.338567
Speciation_gene_pairs_same_direction,0.0771702
Speciation_gene_pairs_same_direction,0.195776
Speciation_gene_pairs_same_direction,0.0822024
Speciation_gene_pairs_same_direction,0.153254
