Type,ka
Speciation_gene_pairs_same_direction,0.2176
Speciation_gene_pairs_same_direction,0.0943
Speciation_gene_pairs_same_direction,0.1977
Speciation_gene_pairs_same_direction,0.1012
Speciation_gene_pairs_same_direction,0.1149
Speciation_gene_pairs_same_direction,0.2133
Speciation_gene_pairs_same_direction,0.0931
Speciation_gene_pairs_same_direction,0.0931
Speciation_gene_pairs_same_direction,0.0915
Speciation_gene_pairs_same_direction,0.0689
Speciation_gene_pairs_same_direction,0.2537
Speciation_gene_pairs_same_direction,0.1592
Speciation_gene_pairs_same_direction,0.2274
Speciation_gene_pairs_same_direction,0.0952
Speciation_gene_pairs_same_direction,0.3391
Speciation_gene_pairs_same_direction,0.0487
Speciation_gene_pairs_same_direction,0.3134
Speciation_gene_pairs_same_direction,0.2036
Speciation_gene_pairs_same_direction,0.3124
Speciation_gene_pairs_same_direction,0.0149
Speciation_gene_pairs_same_direction,0.2748
Speciation_gene_pairs_same_direction,0.2481
Speciation_gene_pairs_same_direction,0.2463
Speciation_gene_pairs_same_direction,0.1735
Speciation_gene_pairs_same_direction,0.1648
Speciation_gene_pairs_same_direction,0.0706
Speciation_gene_pairs_same_direction,0.0977
Speciation_gene_pairs_same_direction,0.4374
