Type,ks
Speciation_gene_pairs_same_direction,0.6977
Speciation_gene_pairs_same_direction,0.5503
Speciation_gene_pairs_same_direction,0.5785
Speciation_gene_pairs_same_direction,0.5239
Speciation_gene_pairs_same_direction,0.6192
Speciation_gene_pairs_same_direction,0.515
Speciation_gene_pairs_same_direction,0.586
Speciation_gene_pairs_same_direction,0.467
Speciation_gene_pairs_same_direction,0.6572
Speciation_gene_pairs_same_direction,0.5284
Speciation_gene_pairs_same_direction,0.7975
Speciation_gene_pairs_same_direction,0.5932
Speciation_gene_pairs_same_direction,0.5103
Speciation_gene_pairs_same_direction,0.6791
Speciation_gene_pairs_same_direction,0.6964
Speciation_gene_pairs_same_direction,0.4628
Speciation_gene_pairs_same_direction,0.7114
Speciation_gene_pairs_same_direction,0.6159
Speciation_gene_pairs_same_direction,0.8097
Speciation_gene_pairs_same_direction,0.9828
Speciation_gene_pairs_same_direction,1.2562
Speciation_gene_pairs_same_direction,0.5646
Speciation_gene_pairs_same_direction,0.6621
Speciation_gene_pairs_same_direction,1.0747
Speciation_gene_pairs_same_direction,1.0769
Speciation_gene_pairs_same_direction,0.4838
Speciation_gene_pairs_same_direction,0.5722
Speciation_gene_pairs_same_direction,0.7937
