Type,omega
Speciation_gene_pairs_same_direction,0.1267
Speciation_gene_pairs_same_direction,0.3155
Speciation_gene_pairs_same_direction,0.0777
Speciation_gene_pairs_same_direction,0.1544
Speciation_gene_pairs_same_direction,0.1313
Speciation_gene_pairs_same_direction,0.1865
Speciation_gene_pairs_same_direction,0.2314
Speciation_gene_pairs_same_direction,0.495
Speciation_gene_pairs_same_direction,0.1729
Speciation_gene_pairs_same_direction,0.0848
Speciation_gene_pairs_same_direction,0.235
Speciation_gene_pairs_same_direction,0.2588
Speciation_gene_pairs_same_direction,0.225
Speciation_gene_pairs_same_direction,0.1589
Speciation_gene_pairs_same_direction,0.162
Speciation_gene_pairs_same_direction,0.1601
Speciation_gene_pairs_same_direction,0.3496
Speciation_gene_pairs_same_direction,0.1352
Speciation_gene_pairs_same_direction,0.5635
Speciation_gene_pairs_same_direction,0.5302
Speciation_gene_pairs_same_direction,0.123
Speciation_gene_pairs_same_direction,0.1503
Speciation_gene_pairs_same_direction,0.112
Speciation_gene_pairs_same_direction,0.24
Speciation_gene_pairs_same_direction,0.2607
Speciation_gene_pairs_same_direction,0.0861
Speciation_gene_pairs_same_direction,0.1399
Speciation_gene_pairs_same_direction,0.1276
