Type,ka
Speciation_gene_pairs_same_direction,0.3159
Speciation_gene_pairs_same_direction,0.1329
Speciation_gene_pairs_same_direction,0.153
Speciation_gene_pairs_same_direction,0.2817
Speciation_gene_pairs_same_direction,0.0547
Speciation_gene_pairs_same_direction,0.1479
Speciation_gene_pairs_same_direction,0.1351
Speciation_gene_pairs_same_direction,0.0864
Speciation_gene_pairs_same_direction,0.0497
Speciation_gene_pairs_same_direction,0.0772
Speciation_gene_pairs_same_direction,0.1779
Speciation_gene_pairs_same_direction,0.1044
Speciation_gene_pairs_same_direction,0.0738
Speciation_gene_pairs_same_direction,0.1508
Speciation_gene_pairs_same_direction,0.191
Speciation_gene_pairs_same_direction,0.0609
Speciation_gene_pairs_same_direction,0.1823
Speciation_gene_pairs_same_direction,0.1986
Speciation_gene_pairs_same_direction,0.1671
Speciation_gene_pairs_same_direction,0.1285
Speciation_gene_pairs_same_direction,0.1508
Speciation_gene_pairs_same_direction,0.1027
Speciation_gene_pairs_same_direction,0.2585
Speciation_gene_pairs_same_direction,0.1632
Speciation_gene_pairs_same_direction,0.1487
Speciation_gene_pairs_same_direction,0.2805
Speciation_gene_pairs_same_direction,0.1318
Speciation_gene_pairs_same_direction,0.2761
