Type,ks
Speciation_gene_pairs_same_direction,0.8636
Speciation_gene_pairs_same_direction,0.5005
Speciation_gene_pairs_same_direction,0.5673
Speciation_gene_pairs_same_direction,1.2834
Speciation_gene_pairs_same_direction,0.6065
Speciation_gene_pairs_same_direction,1.067
Speciation_gene_pairs_same_direction,1.5796
Speciation_gene_pairs_same_direction,1.0625
Speciation_gene_pairs_same_direction,0.5217
Speciation_gene_pairs_same_direction,1.1455
Speciation_gene_pairs_same_direction,0.6339
Speciation_gene_pairs_same_direction,0.8575
Speciation_gene_pairs_same_direction,0.6023
Speciation_gene_pairs_same_direction,1.0063
Speciation_gene_pairs_same_direction,2.8076
Speciation_gene_pairs_same_direction,0.5001
Speciation_gene_pairs_same_direction,0.6997
Speciation_gene_pairs_same_direction,0.6224
Speciation_gene_pairs_same_direction,0.6986
Speciation_gene_pairs_same_direction,0.6132
Speciation_gene_pairs_same_direction,0.7634
Speciation_gene_pairs_same_direction,0.6068
Speciation_gene_pairs_same_direction,0.4355
Speciation_gene_pairs_same_direction,0.5696
Speciation_gene_pairs_same_direction,2.1518
Speciation_gene_pairs_same_direction,1.5299
Speciation_gene_pairs_same_direction,2.3678
Speciation_gene_pairs_same_direction,1.1296
