Type,ks
Speciation_gene_pairs_same_direction,2.46313
Speciation_gene_pairs_same_direction,0.558084
Speciation_gene_pairs_same_direction,1.62422
Speciation_gene_pairs_same_direction,2.66196
Speciation_gene_pairs_same_direction,0.738876
Speciation_gene_pairs_same_direction,0.854578
Speciation_gene_pairs_same_direction,1.63223
Speciation_gene_pairs_same_direction,0.816023
Speciation_gene_pairs_same_direction,1.40373
Speciation_gene_pairs_same_direction,0.646626
Speciation_gene_pairs_same_direction,1.33181
Speciation_gene_pairs_same_direction,0.674606
Speciation_gene_pairs_same_direction,0.889547
Speciation_gene_pairs_same_direction,0.808907
Speciation_gene_pairs_same_direction,0.588197
Speciation_gene_pairs_same_direction,1.81072
Speciation_gene_pairs_same_direction,1.16427
Speciation_gene_pairs_same_direction,1.69879
Speciation_gene_pairs_same_direction,1.76917
Speciation_gene_pairs_same_direction,1.10358
Speciation_gene_pairs_same_direction,1.08437
Speciation_gene_pairs_same_direction,0.598538
Speciation_gene_pairs_same_direction,0.765077
Speciation_gene_pairs_same_direction,1.50652
Speciation_gene_pairs_same_direction,0.571635
Speciation_gene_pairs_same_direction,1.00118
Speciation_gene_pairs_same_direction,0.80519
Speciation_gene_pairs_same_direction,1.23504
