Type,omega
Speciation_gene_pairs_same_direction,0.0281112
Speciation_gene_pairs_same_direction,0.0813552
Speciation_gene_pairs_same_direction,0.0253446
Speciation_gene_pairs_same_direction,0.163418
Speciation_gene_pairs_same_direction,0.210387
Speciation_gene_pairs_same_direction,0.0358006
Speciation_gene_pairs_same_direction,0.0918308
Speciation_gene_pairs_same_direction,0.078898
Speciation_gene_pairs_same_direction,0.0855257
Speciation_gene_pairs_same_direction,0.0559216
Speciation_gene_pairs_same_direction,0.144473
Speciation_gene_pairs_same_direction,0.0613179
Speciation_gene_pairs_same_direction,0.119485
Speciation_gene_pairs_same_direction,0.116673
Speciation_gene_pairs_same_direction,0.106614
Speciation_gene_pairs_same_direction,0.0451623
Speciation_gene_pairs_same_direction,0.0324986
Speciation_gene_pairs_same_direction,0.114065
Speciation_gene_pairs_same_direction,0.130799
Speciation_gene_pairs_same_direction,0.0635262
Speciation_gene_pairs_same_direction,0.0730379
Speciation_gene_pairs_same_direction,0.0703769
Speciation_gene_pairs_same_direction,0.199785
Speciation_gene_pairs_same_direction,0.0809497
Speciation_gene_pairs_same_direction,0.0146936
Speciation_gene_pairs_same_direction,0.0411033
Speciation_gene_pairs_same_direction,0.177165
Speciation_gene_pairs_same_direction,0.210717
