Type,ka
Speciation_gene_pairs_same_direction,0.2497
Speciation_gene_pairs_same_direction,0.1092
Speciation_gene_pairs_same_direction,0.1873
Speciation_gene_pairs_same_direction,0.1297
Speciation_gene_pairs_same_direction,0.1435
Speciation_gene_pairs_same_direction,0.0808
Speciation_gene_pairs_same_direction,0.1689
Speciation_gene_pairs_same_direction,0.1623
Speciation_gene_pairs_same_direction,0.1869
Speciation_gene_pairs_same_direction,0.2089
Speciation_gene_pairs_same_direction,0.2338
Speciation_gene_pairs_same_direction,0.1087
Speciation_gene_pairs_same_direction,0.1188
Speciation_gene_pairs_same_direction,0.0835
Speciation_gene_pairs_same_direction,0.1013
Speciation_gene_pairs_same_direction,0.1308
Speciation_gene_pairs_same_direction,0.0494
Speciation_gene_pairs_same_direction,0.059
Speciation_gene_pairs_same_direction,0.0876
Speciation_gene_pairs_same_direction,0.1493
Speciation_gene_pairs_same_direction,0.1464
Speciation_gene_pairs_same_direction,0.1998
Speciation_gene_pairs_same_direction,0.0783
Speciation_gene_pairs_same_direction,0.2112
Speciation_gene_pairs_same_direction,0.1206
Speciation_gene_pairs_same_direction,0.1697
Speciation_gene_pairs_same_direction,0.3735
Speciation_gene_pairs_same_direction,0.1887
