Type,omega
Speciation_gene_pairs_same_direction,0.1733
Speciation_gene_pairs_same_direction,0.0987
Speciation_gene_pairs_same_direction,0.0964
Speciation_gene_pairs_same_direction,0.1277
Speciation_gene_pairs_same_direction,0.1736
Speciation_gene_pairs_same_direction,0.1717
Speciation_gene_pairs_same_direction,0.2934
Speciation_gene_pairs_same_direction,0.3625
Speciation_gene_pairs_same_direction,0.1511
Speciation_gene_pairs_same_direction,0.2124
Speciation_gene_pairs_same_direction,0.3403
Speciation_gene_pairs_same_direction,0.202
Speciation_gene_pairs_same_direction,0.2374
Speciation_gene_pairs_same_direction,0.2076
Speciation_gene_pairs_same_direction,0.1351
Speciation_gene_pairs_same_direction,0.1691
Speciation_gene_pairs_same_direction,0.8479
Speciation_gene_pairs_same_direction,0.3257
Speciation_gene_pairs_same_direction,0.2108
Speciation_gene_pairs_same_direction,0.5221
Speciation_gene_pairs_same_direction,0.2107
Speciation_gene_pairs_same_direction,0.3041
Speciation_gene_pairs_same_direction,0.3604
Speciation_gene_pairs_same_direction,0.3782
Speciation_gene_pairs_same_direction,0.1436
Speciation_gene_pairs_same_direction,0.1394
Speciation_gene_pairs_same_direction,0.2535
Speciation_gene_pairs_same_direction,0.2083
