Type,ks
Speciation_gene_pairs_same_direction,1.7178
Speciation_gene_pairs_same_direction,1.139
Speciation_gene_pairs_same_direction,0.6683
Speciation_gene_pairs_same_direction,0.6007
Speciation_gene_pairs_same_direction,1.0198
Speciation_gene_pairs_same_direction,0.5694
Speciation_gene_pairs_same_direction,0.6121
Speciation_gene_pairs_same_direction,0.6689
Speciation_gene_pairs_same_direction,0.6597
Speciation_gene_pairs_same_direction,0.8384
Speciation_gene_pairs_same_direction,0.6821
Speciation_gene_pairs_same_direction,0.6352
Speciation_gene_pairs_same_direction,0.5618
Speciation_gene_pairs_same_direction,0.6025
Speciation_gene_pairs_same_direction,0.5498
Speciation_gene_pairs_same_direction,0.6197
Speciation_gene_pairs_same_direction,0.6095
Speciation_gene_pairs_same_direction,0.5716
Speciation_gene_pairs_same_direction,2.7781
Speciation_gene_pairs_same_direction,0.9204
Speciation_gene_pairs_same_direction,0.7363
Speciation_gene_pairs_same_direction,0.6647
Speciation_gene_pairs_same_direction,1.1422
Speciation_gene_pairs_same_direction,0.9216
Speciation_gene_pairs_same_direction,0.766
Speciation_gene_pairs_same_direction,0.6513
Speciation_gene_pairs_same_direction,0.7784
Speciation_gene_pairs_same_direction,0.7577
