Type,omega
Speciation_gene_pairs_same_direction,0.3991
Speciation_gene_pairs_same_direction,0.0353
Speciation_gene_pairs_same_direction,0.1204
Speciation_gene_pairs_same_direction,0.1464
Speciation_gene_pairs_same_direction,0.1896
Speciation_gene_pairs_same_direction,0.1485
Speciation_gene_pairs_same_direction,0.1103
Speciation_gene_pairs_same_direction,0.0839
Speciation_gene_pairs_same_direction,0.0879
Speciation_gene_pairs_same_direction,0.2568
Speciation_gene_pairs_same_direction,0.1819
Speciation_gene_pairs_same_direction,0.5025
Speciation_gene_pairs_same_direction,0.1585
Speciation_gene_pairs_same_direction,0.3722
Speciation_gene_pairs_same_direction,0.2034
Speciation_gene_pairs_same_direction,0.2404
Speciation_gene_pairs_same_direction,0.2914
Speciation_gene_pairs_same_direction,0.1183
Speciation_gene_pairs_same_direction,0.1373
Speciation_gene_pairs_same_direction,0.0751
Speciation_gene_pairs_same_direction,0.0597
Speciation_gene_pairs_same_direction,0.0536
Speciation_gene_pairs_same_direction,0.0663
Speciation_gene_pairs_same_direction,0.2034
Speciation_gene_pairs_same_direction,0.0381
Speciation_gene_pairs_same_direction,0.2434
Speciation_gene_pairs_same_direction,0.3551
Speciation_gene_pairs_same_direction,0.1081
