Type,omega
Speciation_gene_pairs_same_direction,0.0777348
Speciation_gene_pairs_same_direction,0.0948645
Speciation_gene_pairs_same_direction,0.227103
Speciation_gene_pairs_same_direction,0.193993
Speciation_gene_pairs_same_direction,0.272425
Speciation_gene_pairs_same_direction,0.0396955
Speciation_gene_pairs_same_direction,0.192027
Speciation_gene_pairs_same_direction,0.0869046
Speciation_gene_pairs_same_direction,0.101933
Speciation_gene_pairs_same_direction,0.238489
Speciation_gene_pairs_same_direction,0.0256225
Speciation_gene_pairs_same_direction,0.0926449
Speciation_gene_pairs_same_direction,0.0717973
Speciation_gene_pairs_same_direction,0.304966
Speciation_gene_pairs_same_direction,0.221134
Speciation_gene_pairs_same_direction,0.203664
Speciation_gene_pairs_same_direction,0.124241
Speciation_gene_pairs_same_direction,0.201914
Speciation_gene_pairs_same_direction,0.0659427
Speciation_gene_pairs_same_direction,0.0543026
Speciation_gene_pairs_same_direction,0.108667
Speciation_gene_pairs_same_direction,0.1625
Speciation_gene_pairs_same_direction,0.0660237
Speciation_gene_pairs_same_direction,0.149682
Speciation_gene_pairs_same_direction,0.0232848
Speciation_gene_pairs_same_direction,0.0651414
Speciation_gene_pairs_same_direction,0.13403
Speciation_gene_pairs_same_direction,0.103434
