Type,ks
Speciation_gene_pairs_same_direction,0.6764
Speciation_gene_pairs_same_direction,1.4132
Speciation_gene_pairs_same_direction,0.8088
Speciation_gene_pairs_same_direction,0.8686
Speciation_gene_pairs_same_direction,1.3837
Speciation_gene_pairs_same_direction,0.5059
Speciation_gene_pairs_same_direction,0.7817
Speciation_gene_pairs_same_direction,0.6727
Speciation_gene_pairs_same_direction,1.1882
Speciation_gene_pairs_same_direction,0.925
Speciation_gene_pairs_same_direction,0.5776
Speciation_gene_pairs_same_direction,0.8797
Speciation_gene_pairs_same_direction,0.5968
Speciation_gene_pairs_same_direction,0.8098
Speciation_gene_pairs_same_direction,0.5788
Speciation_gene_pairs_same_direction,0.7887
Speciation_gene_pairs_same_direction,0.7515
Speciation_gene_pairs_same_direction,0.7451
Speciation_gene_pairs_same_direction,1.0553
Speciation_gene_pairs_same_direction,0.6169
Speciation_gene_pairs_same_direction,1.0257
Speciation_gene_pairs_same_direction,0.8119
Speciation_gene_pairs_same_direction,0.5815
Speciation_gene_pairs_same_direction,0.6474
Speciation_gene_pairs_same_direction,1.0271
Speciation_gene_pairs_same_direction,1.0534
Speciation_gene_pairs_same_direction,1.0709
Speciation_gene_pairs_same_direction,1.8582
