Type,omega
Speciation_gene_pairs_same_direction,0.2191
Speciation_gene_pairs_same_direction,0.1999
Speciation_gene_pairs_same_direction,0.2092
Speciation_gene_pairs_same_direction,0.2584
Speciation_gene_pairs_same_direction,0.0594
Speciation_gene_pairs_same_direction,0.1919
Speciation_gene_pairs_same_direction,0.1992
Speciation_gene_pairs_same_direction,0.1961
Speciation_gene_pairs_same_direction,0.2626
Speciation_gene_pairs_same_direction,0.2483
Speciation_gene_pairs_same_direction,0.4194
Speciation_gene_pairs_same_direction,0.1041
Speciation_gene_pairs_same_direction,0.244
Speciation_gene_pairs_same_direction,0.2108
Speciation_gene_pairs_same_direction,0.1212
Speciation_gene_pairs_same_direction,0.1789
Speciation_gene_pairs_same_direction,0.3473
Speciation_gene_pairs_same_direction,0.1203
Speciation_gene_pairs_same_direction,0.2204
Speciation_gene_pairs_same_direction,0.0692
Speciation_gene_pairs_same_direction,0.3079
Speciation_gene_pairs_same_direction,0.2189
Speciation_gene_pairs_same_direction,0.1057
Speciation_gene_pairs_same_direction,0.1499
Speciation_gene_pairs_same_direction,0.2532
Speciation_gene_pairs_same_direction,0.2244
Speciation_gene_pairs_same_direction,0.1197
Speciation_gene_pairs_same_direction,0.352
