Type,ka
Speciation_gene_pairs_same_direction,0.1973
Speciation_gene_pairs_same_direction,0.1262
Speciation_gene_pairs_same_direction,0.1783
Speciation_gene_pairs_same_direction,0.3186
Speciation_gene_pairs_same_direction,0.2096
Speciation_gene_pairs_same_direction,0.2553
Speciation_gene_pairs_same_direction,0.2908
Speciation_gene_pairs_same_direction,0.1773
Speciation_gene_pairs_same_direction,0.1373
Speciation_gene_pairs_same_direction,0.1052
Speciation_gene_pairs_same_direction,0.1666
Speciation_gene_pairs_same_direction,0.2806
Speciation_gene_pairs_same_direction,0.1715
Speciation_gene_pairs_same_direction,0.1619
Speciation_gene_pairs_same_direction,0.3088
Speciation_gene_pairs_same_direction,0.3758
Speciation_gene_pairs_same_direction,0.2809
Speciation_gene_pairs_same_direction,0.1671
Speciation_gene_pairs_same_direction,0.3057
Speciation_gene_pairs_same_direction,0.1313
Speciation_gene_pairs_same_direction,0.2968
Speciation_gene_pairs_same_direction,0.2052
Speciation_gene_pairs_same_direction,0.0573
Speciation_gene_pairs_same_direction,0.2025
Speciation_gene_pairs_same_direction,0.241
Speciation_gene_pairs_same_direction,0.2642
Speciation_gene_pairs_same_direction,0.1336
Speciation_gene_pairs_same_direction,0.17
