Type,ks
Speciation_gene_pairs_same_direction,0.4957
Speciation_gene_pairs_same_direction,1.0592
Speciation_gene_pairs_same_direction,0.8555
Speciation_gene_pairs_same_direction,0.8123
Speciation_gene_pairs_same_direction,0.9028
Speciation_gene_pairs_same_direction,1.3357
Speciation_gene_pairs_same_direction,0.7688
Speciation_gene_pairs_same_direction,1.6219
Speciation_gene_pairs_same_direction,0.6887
Speciation_gene_pairs_same_direction,0.8899
Speciation_gene_pairs_same_direction,2.0098
Speciation_gene_pairs_same_direction,2.7747
Speciation_gene_pairs_same_direction,0.6268
Speciation_gene_pairs_same_direction,0.4316
Speciation_gene_pairs_same_direction,0.6998
Speciation_gene_pairs_same_direction,0.6456
Speciation_gene_pairs_same_direction,1.5486
Speciation_gene_pairs_same_direction,0.7629
Speciation_gene_pairs_same_direction,2.9534
Speciation_gene_pairs_same_direction,2.3513
Speciation_gene_pairs_same_direction,2.1322
Speciation_gene_pairs_same_direction,1.9412
Speciation_gene_pairs_same_direction,0.4984
Speciation_gene_pairs_same_direction,2.3573
Speciation_gene_pairs_same_direction,1.2039
Speciation_gene_pairs_same_direction,1.7621
Speciation_gene_pairs_same_direction,0.5917
Speciation_gene_pairs_same_direction,0.588
