Type,omega
Speciation_gene_pairs_same_direction,0.288603
Speciation_gene_pairs_same_direction,0.308793
Speciation_gene_pairs_same_direction,0.157757
Speciation_gene_pairs_same_direction,0.0578138
Speciation_gene_pairs_same_direction,0.0786576
Speciation_gene_pairs_same_direction,0.0982928
Speciation_gene_pairs_same_direction,0.138905
Speciation_gene_pairs_same_direction,0.0425243
Speciation_gene_pairs_same_direction,0.0829662
Speciation_gene_pairs_same_direction,0.169111
Speciation_gene_pairs_same_direction,0.351777
Speciation_gene_pairs_same_direction,0.1394
Speciation_gene_pairs_same_direction,0.133685
Speciation_gene_pairs_same_direction,0.0238157
Speciation_gene_pairs_same_direction,0.144846
Speciation_gene_pairs_same_direction,0.0959035
Speciation_gene_pairs_same_direction,0.0443884
Speciation_gene_pairs_same_direction,0.146275
Speciation_gene_pairs_same_direction,0.120265
Speciation_gene_pairs_same_direction,0.172345
Speciation_gene_pairs_same_direction,0.172627
Speciation_gene_pairs_same_direction,0.205071
Speciation_gene_pairs_same_direction,0.0485893
Speciation_gene_pairs_same_direction,0.143927
Speciation_gene_pairs_same_direction,0.167465
Speciation_gene_pairs_same_direction,0.0505175
Speciation_gene_pairs_same_direction,0.161954
Speciation_gene_pairs_same_direction,0.0530901
