Type,ka
Speciation_gene_pairs_same_direction,0.1261
Speciation_gene_pairs_same_direction,0.268
Speciation_gene_pairs_same_direction,0.0588
Speciation_gene_pairs_same_direction,0.104
Speciation_gene_pairs_same_direction,0.3117
Speciation_gene_pairs_same_direction,0.1006
Speciation_gene_pairs_same_direction,0.2244
Speciation_gene_pairs_same_direction,0.1058
Speciation_gene_pairs_same_direction,0.2265
Speciation_gene_pairs_same_direction,0.117
Speciation_gene_pairs_same_direction,0.145
Speciation_gene_pairs_same_direction,0.292
Speciation_gene_pairs_same_direction,0.1563
Speciation_gene_pairs_same_direction,0.2192
Speciation_gene_pairs_same_direction,0.1649
Speciation_gene_pairs_same_direction,0.1557
Speciation_gene_pairs_same_direction,0.0513
Speciation_gene_pairs_same_direction,0.0716
Speciation_gene_pairs_same_direction,0.0904
Speciation_gene_pairs_same_direction,0.1199
Speciation_gene_pairs_same_direction,0.1054
Speciation_gene_pairs_same_direction,0.0845
Speciation_gene_pairs_same_direction,0.3125
Speciation_gene_pairs_same_direction,0.1199
Speciation_gene_pairs_same_direction,0.0535
Speciation_gene_pairs_same_direction,0.0
Speciation_gene_pairs_same_direction,0.3543
Speciation_gene_pairs_same_direction,0.2053
