Type,omega
Speciation_gene_pairs_same_direction,0.2777
Speciation_gene_pairs_same_direction,0.3235
Speciation_gene_pairs_same_direction,0.2043
Speciation_gene_pairs_same_direction,0.226
Speciation_gene_pairs_same_direction,0.2046
Speciation_gene_pairs_same_direction,0.3142
Speciation_gene_pairs_same_direction,0.2115
Speciation_gene_pairs_same_direction,0.324
Speciation_gene_pairs_same_direction,0.3496
Speciation_gene_pairs_same_direction,0.0655
Speciation_gene_pairs_same_direction,0.1878
Speciation_gene_pairs_same_direction,0.2476
Speciation_gene_pairs_same_direction,0.1342
Speciation_gene_pairs_same_direction,0.2169
Speciation_gene_pairs_same_direction,0.1169
Speciation_gene_pairs_same_direction,0.1131
Speciation_gene_pairs_same_direction,0.3629
Speciation_gene_pairs_same_direction,0.201
Speciation_gene_pairs_same_direction,0.2477
Speciation_gene_pairs_same_direction,0.166
Speciation_gene_pairs_same_direction,0.3735
Speciation_gene_pairs_same_direction,0.1503
Speciation_gene_pairs_same_direction,0.3542
Speciation_gene_pairs_same_direction,0.2703
Speciation_gene_pairs_same_direction,0.1377
Speciation_gene_pairs_same_direction,0.5202
Speciation_gene_pairs_same_direction,0.2401
Speciation_gene_pairs_same_direction,0.324
