Type,omega
Speciation_gene_pairs_same_direction,0.0856
Speciation_gene_pairs_same_direction,0.3344
Speciation_gene_pairs_same_direction,0.0433
Speciation_gene_pairs_same_direction,0.0273
Speciation_gene_pairs_same_direction,0.3123
Speciation_gene_pairs_same_direction,0.5483
Speciation_gene_pairs_same_direction,0.1009
Speciation_gene_pairs_same_direction,0.4341
Speciation_gene_pairs_same_direction,0.138
Speciation_gene_pairs_same_direction,0.2359
Speciation_gene_pairs_same_direction,0.145
Speciation_gene_pairs_same_direction,0.18
Speciation_gene_pairs_same_direction,0.0295
Speciation_gene_pairs_same_direction,0.0978
Speciation_gene_pairs_same_direction,0.0826
Speciation_gene_pairs_same_direction,0.0824
Speciation_gene_pairs_same_direction,0.2149
Speciation_gene_pairs_same_direction,0.0206
Speciation_gene_pairs_same_direction,0.0618
Speciation_gene_pairs_same_direction,0.0841
Speciation_gene_pairs_same_direction,0.1167
Speciation_gene_pairs_same_direction,0.2465
Speciation_gene_pairs_same_direction,0.2025
Speciation_gene_pairs_same_direction,0.2144
Speciation_gene_pairs_same_direction,0.0757
Speciation_gene_pairs_same_direction,0.2105
Speciation_gene_pairs_same_direction,0.2576
Speciation_gene_pairs_same_direction,0.0486
