Type,ka
Speciation_gene_pairs_same_direction,0.340358
Speciation_gene_pairs_same_direction,0.431799
Speciation_gene_pairs_same_direction,0.147674
Speciation_gene_pairs_same_direction,0.119027
Speciation_gene_pairs_same_direction,0.0467049
Speciation_gene_pairs_same_direction,0.024189
Speciation_gene_pairs_same_direction,0.172055
Speciation_gene_pairs_same_direction,0.24014
Speciation_gene_pairs_same_direction,0.244832
Speciation_gene_pairs_same_direction,0.0990052
Speciation_gene_pairs_same_direction,0.0352358
Speciation_gene_pairs_same_direction,0.121333
Speciation_gene_pairs_same_direction,0.192474
Speciation_gene_pairs_same_direction,0.218414
Speciation_gene_pairs_same_direction,0.0439716
Speciation_gene_pairs_same_direction,0.126529
Speciation_gene_pairs_same_direction,0.174358
Speciation_gene_pairs_same_direction,0.148418
Speciation_gene_pairs_same_direction,0.259185
Speciation_gene_pairs_same_direction,0.316421
Speciation_gene_pairs_same_direction,0.0993935
Speciation_gene_pairs_same_direction,0.115873
Speciation_gene_pairs_same_direction,0.0553294
Speciation_gene_pairs_same_direction,0.0670576
Speciation_gene_pairs_same_direction,0.0427404
Speciation_gene_pairs_same_direction,0.121448
Speciation_gene_pairs_same_direction,0.149616
Speciation_gene_pairs_same_direction,0.160557
