Type,ks
Speciation_gene_pairs_same_direction,0.441727
Speciation_gene_pairs_same_direction,1.16897
Speciation_gene_pairs_same_direction,0.610465
Speciation_gene_pairs_same_direction,1.06503
Speciation_gene_pairs_same_direction,0.675656
Speciation_gene_pairs_same_direction,0.664526
Speciation_gene_pairs_same_direction,1.77686
Speciation_gene_pairs_same_direction,0.735385
Speciation_gene_pairs_same_direction,0.719094
Speciation_gene_pairs_same_direction,0.929612
Speciation_gene_pairs_same_direction,1.09954
Speciation_gene_pairs_same_direction,2.76599
Speciation_gene_pairs_same_direction,0.518455
Speciation_gene_pairs_same_direction,0.750184
Speciation_gene_pairs_same_direction,1.52969
Speciation_gene_pairs_same_direction,0.673715
Speciation_gene_pairs_same_direction,0.751692
Speciation_gene_pairs_same_direction,0.60286
Speciation_gene_pairs_same_direction,0.651212
Speciation_gene_pairs_same_direction,2.23801
Speciation_gene_pairs_same_direction,1.35681
Speciation_gene_pairs_same_direction,0.768575
Speciation_gene_pairs_same_direction,0.983813
Speciation_gene_pairs_same_direction,0.642445
Speciation_gene_pairs_same_direction,1.00341
Speciation_gene_pairs_same_direction,1.25763
Speciation_gene_pairs_same_direction,1.94867
Speciation_gene_pairs_same_direction,0.848477
