Type,omega
Speciation_gene_pairs_same_direction,0.167153
Speciation_gene_pairs_same_direction,0.147571
Speciation_gene_pairs_same_direction,0.253131
Speciation_gene_pairs_same_direction,0.173734
Speciation_gene_pairs_same_direction,0.139175
Speciation_gene_pairs_same_direction,0.157268
Speciation_gene_pairs_same_direction,0.253752
Speciation_gene_pairs_same_direction,0.136164
Speciation_gene_pairs_same_direction,0.0815451
Speciation_gene_pairs_same_direction,0.142572
Speciation_gene_pairs_same_direction,0.0912598
Speciation_gene_pairs_same_direction,0.0426725
Speciation_gene_pairs_same_direction,0.0296154
Speciation_gene_pairs_same_direction,0.0270271
Speciation_gene_pairs_same_direction,0.0214536
Speciation_gene_pairs_same_direction,0.167579
Speciation_gene_pairs_same_direction,0.325468
Speciation_gene_pairs_same_direction,0.520516
Speciation_gene_pairs_same_direction,0.055979
Speciation_gene_pairs_same_direction,0.0747363
Speciation_gene_pairs_same_direction,0.168203
Speciation_gene_pairs_same_direction,0.367096
Speciation_gene_pairs_same_direction,0.186024
Speciation_gene_pairs_same_direction,0.0998165
Speciation_gene_pairs_same_direction,0.288163
Speciation_gene_pairs_same_direction,0.186286
Speciation_gene_pairs_same_direction,0.154662
Speciation_gene_pairs_same_direction,0.21093
