Type,ka
Speciation_gene_pairs_same_direction,0.1795
Speciation_gene_pairs_same_direction,0.0703
Speciation_gene_pairs_same_direction,0.0654
Speciation_gene_pairs_same_direction,0.2463
Speciation_gene_pairs_same_direction,0.1411
Speciation_gene_pairs_same_direction,0.3115
Speciation_gene_pairs_same_direction,0.0877
Speciation_gene_pairs_same_direction,0.157
Speciation_gene_pairs_same_direction,0.1075
Speciation_gene_pairs_same_direction,0.5133
Speciation_gene_pairs_same_direction,0.1542
Speciation_gene_pairs_same_direction,0.0843
Speciation_gene_pairs_same_direction,0.3491
Speciation_gene_pairs_same_direction,0.1065
Speciation_gene_pairs_same_direction,0.1219
Speciation_gene_pairs_same_direction,0.2264
Speciation_gene_pairs_same_direction,0.165
Speciation_gene_pairs_same_direction,0.1316
Speciation_gene_pairs_same_direction,0.1118
Speciation_gene_pairs_same_direction,0.3262
Speciation_gene_pairs_same_direction,0.1862
Speciation_gene_pairs_same_direction,0.1403
Speciation_gene_pairs_same_direction,0.1839
Speciation_gene_pairs_same_direction,0.2235
Speciation_gene_pairs_same_direction,0.2571
Speciation_gene_pairs_same_direction,0.1356
Speciation_gene_pairs_same_direction,0.1734
Speciation_gene_pairs_same_direction,0.0581
