Type,omega
Speciation_gene_pairs_same_direction,0.3354
Speciation_gene_pairs_same_direction,0.1449
Speciation_gene_pairs_same_direction,0.1152
Speciation_gene_pairs_same_direction,0.3264
Speciation_gene_pairs_same_direction,0.2431
Speciation_gene_pairs_same_direction,0.1854
Speciation_gene_pairs_same_direction,0.1786
Speciation_gene_pairs_same_direction,0.2126
Speciation_gene_pairs_same_direction,0.1166
Speciation_gene_pairs_same_direction,0.1341
Speciation_gene_pairs_same_direction,0.0887
Speciation_gene_pairs_same_direction,0.2173
Speciation_gene_pairs_same_direction,0.6327
Speciation_gene_pairs_same_direction,0.1436
Speciation_gene_pairs_same_direction,0.1693
Speciation_gene_pairs_same_direction,0.2622
Speciation_gene_pairs_same_direction,0.1661
Speciation_gene_pairs_same_direction,0.1113
Speciation_gene_pairs_same_direction,0.1465
Speciation_gene_pairs_same_direction,0.1373
Speciation_gene_pairs_same_direction,0.6157
Speciation_gene_pairs_same_direction,0.2122
Speciation_gene_pairs_same_direction,0.3592
Speciation_gene_pairs_same_direction,0.3345
Speciation_gene_pairs_same_direction,0.3441
Speciation_gene_pairs_same_direction,0.3723
Speciation_gene_pairs_same_direction,0.0548
Speciation_gene_pairs_same_direction,0.147
