Type,ka
Speciation_gene_pairs_same_direction,0.126
Speciation_gene_pairs_same_direction,0.1699
Speciation_gene_pairs_same_direction,0.1036
Speciation_gene_pairs_same_direction,0.2141
Speciation_gene_pairs_same_direction,0.1127
Speciation_gene_pairs_same_direction,0.2319
Speciation_gene_pairs_same_direction,0.0426
Speciation_gene_pairs_same_direction,0.338
Speciation_gene_pairs_same_direction,0.2834
Speciation_gene_pairs_same_direction,0.1075
Speciation_gene_pairs_same_direction,0.1287
Speciation_gene_pairs_same_direction,0.2044
Speciation_gene_pairs_same_direction,0.1284
Speciation_gene_pairs_same_direction,0.0215
Speciation_gene_pairs_same_direction,0.1113
Speciation_gene_pairs_same_direction,0.2586
Speciation_gene_pairs_same_direction,0.1625
Speciation_gene_pairs_same_direction,0.1156
Speciation_gene_pairs_same_direction,0.0767
Speciation_gene_pairs_same_direction,0.3827
Speciation_gene_pairs_same_direction,0.3125
Speciation_gene_pairs_same_direction,0.3632
Speciation_gene_pairs_same_direction,0.4092
Speciation_gene_pairs_same_direction,0.1214
Speciation_gene_pairs_same_direction,0.0437
Speciation_gene_pairs_same_direction,0.0059
Speciation_gene_pairs_same_direction,0.1055
Speciation_gene_pairs_same_direction,0.1216
