Type,ks
Speciation_gene_pairs_same_direction,0.6913
Speciation_gene_pairs_same_direction,0.7557
Speciation_gene_pairs_same_direction,0.8583
Speciation_gene_pairs_same_direction,0.7838
Speciation_gene_pairs_same_direction,1.0675
Speciation_gene_pairs_same_direction,0.5259
Speciation_gene_pairs_same_direction,1.9674
Speciation_gene_pairs_same_direction,0.527
Speciation_gene_pairs_same_direction,2.1584
Speciation_gene_pairs_same_direction,1.4754
Speciation_gene_pairs_same_direction,0.6117
Speciation_gene_pairs_same_direction,2.025
Speciation_gene_pairs_same_direction,0.7412
Speciation_gene_pairs_same_direction,0.5173
Speciation_gene_pairs_same_direction,0.4019
Speciation_gene_pairs_same_direction,1.7337
Speciation_gene_pairs_same_direction,0.6104
Speciation_gene_pairs_same_direction,0.7312
Speciation_gene_pairs_same_direction,0.4703
Speciation_gene_pairs_same_direction,0.6813
Speciation_gene_pairs_same_direction,1.9963
Speciation_gene_pairs_same_direction,1.1803
Speciation_gene_pairs_same_direction,1.1606
Speciation_gene_pairs_same_direction,0.4791
Speciation_gene_pairs_same_direction,0.4401
Speciation_gene_pairs_same_direction,1.4271
Speciation_gene_pairs_same_direction,1.2267
Speciation_gene_pairs_same_direction,0.5946
