Type,omega
Speciation_gene_pairs_same_direction,0.0266
Speciation_gene_pairs_same_direction,0.022
Speciation_gene_pairs_same_direction,0.2213
Speciation_gene_pairs_same_direction,0.1019
Speciation_gene_pairs_same_direction,0.0852
Speciation_gene_pairs_same_direction,0.1805
Speciation_gene_pairs_same_direction,0.2205
Speciation_gene_pairs_same_direction,0.0731
Speciation_gene_pairs_same_direction,0.5839
Speciation_gene_pairs_same_direction,0.2036
Speciation_gene_pairs_same_direction,0.0774
Speciation_gene_pairs_same_direction,0.1215
Speciation_gene_pairs_same_direction,0.1832
Speciation_gene_pairs_same_direction,0.1165
Speciation_gene_pairs_same_direction,0.2032
Speciation_gene_pairs_same_direction,0.1699
Speciation_gene_pairs_same_direction,0.4064
Speciation_gene_pairs_same_direction,0.1973
Speciation_gene_pairs_same_direction,0.1356
Speciation_gene_pairs_same_direction,0.3808
Speciation_gene_pairs_same_direction,0.3186
Speciation_gene_pairs_same_direction,0.1035
Speciation_gene_pairs_same_direction,0.0297
Speciation_gene_pairs_same_direction,0.1568
Speciation_gene_pairs_same_direction,0.2725
Speciation_gene_pairs_same_direction,0.1168
Speciation_gene_pairs_same_direction,0.2948
Speciation_gene_pairs_same_direction,0.0499
