Type,ka
Speciation_gene_pairs_same_direction,0.247923
Speciation_gene_pairs_same_direction,0.137893
Speciation_gene_pairs_same_direction,0.0506126
Speciation_gene_pairs_same_direction,0.0964304
Speciation_gene_pairs_same_direction,0.273024
Speciation_gene_pairs_same_direction,0.130985
Speciation_gene_pairs_same_direction,0.0964304
Speciation_gene_pairs_same_direction,0.265048
Speciation_gene_pairs_same_direction,0.308709
Speciation_gene_pairs_same_direction,0.216622
Speciation_gene_pairs_same_direction,0.180868
Speciation_gene_pairs_same_direction,0.292337
Speciation_gene_pairs_same_direction,0.152677
Speciation_gene_pairs_same_direction,0.0932211
Speciation_gene_pairs_same_direction,0.195817
Speciation_gene_pairs_same_direction,0.0553958
Speciation_gene_pairs_same_direction,0.247664
Speciation_gene_pairs_same_direction,0.221992
Speciation_gene_pairs_same_direction,0.194069
Speciation_gene_pairs_same_direction,0.147306
Speciation_gene_pairs_same_direction,0.200955
Speciation_gene_pairs_same_direction,0.201108
Speciation_gene_pairs_same_direction,0.152303
Speciation_gene_pairs_same_direction,0.104842
Speciation_gene_pairs_same_direction,0.18048
Speciation_gene_pairs_same_direction,0.405726
Speciation_gene_pairs_same_direction,0.209391
Speciation_gene_pairs_same_direction,0.109811
