Type,ks
Speciation_gene_pairs_same_direction,0.630011
Speciation_gene_pairs_same_direction,0.984642
Speciation_gene_pairs_same_direction,0.959096
Speciation_gene_pairs_same_direction,0.553195
Speciation_gene_pairs_same_direction,1.37286
Speciation_gene_pairs_same_direction,0.845579
Speciation_gene_pairs_same_direction,0.815222
Speciation_gene_pairs_same_direction,0.712107
Speciation_gene_pairs_same_direction,0.669218
Speciation_gene_pairs_same_direction,0.665934
Speciation_gene_pairs_same_direction,0.781676
Speciation_gene_pairs_same_direction,0.681905
Speciation_gene_pairs_same_direction,1.9253
Speciation_gene_pairs_same_direction,0.91906
Speciation_gene_pairs_same_direction,2.01939
Speciation_gene_pairs_same_direction,0.582204
Speciation_gene_pairs_same_direction,0.895802
Speciation_gene_pairs_same_direction,0.612322
Speciation_gene_pairs_same_direction,1.52585
Speciation_gene_pairs_same_direction,0.943337
Speciation_gene_pairs_same_direction,0.908151
Speciation_gene_pairs_same_direction,0.752507
Speciation_gene_pairs_same_direction,0.662406
Speciation_gene_pairs_same_direction,1.01642
Speciation_gene_pairs_same_direction,0.390596
Speciation_gene_pairs_same_direction,1.16998
Speciation_gene_pairs_same_direction,1.29678
Speciation_gene_pairs_same_direction,0.753322
