Type,omega
Speciation_gene_pairs_same_direction,0.336492
Speciation_gene_pairs_same_direction,0.0905517
Speciation_gene_pairs_same_direction,0.0621304
Speciation_gene_pairs_same_direction,0.179483
Speciation_gene_pairs_same_direction,0.0127796
Speciation_gene_pairs_same_direction,0.0883071
Speciation_gene_pairs_same_direction,0.0910995
Speciation_gene_pairs_same_direction,0.117954
Speciation_gene_pairs_same_direction,0.167783
Speciation_gene_pairs_same_direction,0.320324
Speciation_gene_pairs_same_direction,0.175962
Speciation_gene_pairs_same_direction,0.0765551
Speciation_gene_pairs_same_direction,0.220169
Speciation_gene_pairs_same_direction,0.131298
Speciation_gene_pairs_same_direction,0.0412169
Speciation_gene_pairs_same_direction,0.0334959
Speciation_gene_pairs_same_direction,0.00100526
Speciation_gene_pairs_same_direction,0.0789119
Speciation_gene_pairs_same_direction,0.110021
Speciation_gene_pairs_same_direction,0.273303
Speciation_gene_pairs_same_direction,0.0296939
Speciation_gene_pairs_same_direction,0.00915228
Speciation_gene_pairs_same_direction,0.142378
Speciation_gene_pairs_same_direction,0.0775862
Speciation_gene_pairs_same_direction,0.165546
Speciation_gene_pairs_same_direction,0.0955605
Speciation_gene_pairs_same_direction,0.114151
Speciation_gene_pairs_same_direction,0.397788
