Type,ka
Speciation_gene_pairs_same_direction,0.1231
Speciation_gene_pairs_same_direction,0.3381
Speciation_gene_pairs_same_direction,0.2075
Speciation_gene_pairs_same_direction,0.0211
Speciation_gene_pairs_same_direction,0.34
Speciation_gene_pairs_same_direction,0.0873
Speciation_gene_pairs_same_direction,0.2175
Speciation_gene_pairs_same_direction,0.3992
Speciation_gene_pairs_same_direction,0.0628
Speciation_gene_pairs_same_direction,0.0691
Speciation_gene_pairs_same_direction,0.0774
Speciation_gene_pairs_same_direction,0.182
Speciation_gene_pairs_same_direction,0.2481
Speciation_gene_pairs_same_direction,0.2065
Speciation_gene_pairs_same_direction,0.0494
Speciation_gene_pairs_same_direction,0.1117
Speciation_gene_pairs_same_direction,0.2397
Speciation_gene_pairs_same_direction,0.2219
Speciation_gene_pairs_same_direction,0.17
Speciation_gene_pairs_same_direction,0.2233
Speciation_gene_pairs_same_direction,0.2039
Speciation_gene_pairs_same_direction,0.1043
Speciation_gene_pairs_same_direction,0.3072
Speciation_gene_pairs_same_direction,0.2303
Speciation_gene_pairs_same_direction,0.2963
Speciation_gene_pairs_same_direction,0.2213
Speciation_gene_pairs_same_direction,0.2641
Speciation_gene_pairs_same_direction,0.1817
