Type,ks
Speciation_gene_pairs_same_direction,0.7876
Speciation_gene_pairs_same_direction,0.7249
Speciation_gene_pairs_same_direction,0.6311
Speciation_gene_pairs_same_direction,0.7256
Speciation_gene_pairs_same_direction,0.8519
Speciation_gene_pairs_same_direction,0.5084
Speciation_gene_pairs_same_direction,1.9306
Speciation_gene_pairs_same_direction,0.7584
Speciation_gene_pairs_same_direction,0.6656
Speciation_gene_pairs_same_direction,0.6315
Speciation_gene_pairs_same_direction,1.1796
Speciation_gene_pairs_same_direction,0.5378
Speciation_gene_pairs_same_direction,0.6279
Speciation_gene_pairs_same_direction,1.2582
Speciation_gene_pairs_same_direction,0.798
Speciation_gene_pairs_same_direction,0.6022
Speciation_gene_pairs_same_direction,0.5431
Speciation_gene_pairs_same_direction,0.7377
Speciation_gene_pairs_same_direction,0.7643
Speciation_gene_pairs_same_direction,0.8169
Speciation_gene_pairs_same_direction,1.5775
Speciation_gene_pairs_same_direction,0.6582
Speciation_gene_pairs_same_direction,0.7323
Speciation_gene_pairs_same_direction,0.6456
Speciation_gene_pairs_same_direction,0.8443
Speciation_gene_pairs_same_direction,0.8674
Speciation_gene_pairs_same_direction,0.5957
Speciation_gene_pairs_same_direction,1.074
