Type,omega
Speciation_gene_pairs_same_direction,0.1387
Speciation_gene_pairs_same_direction,0.2212
Speciation_gene_pairs_same_direction,0.0912
Speciation_gene_pairs_same_direction,0.1642
Speciation_gene_pairs_same_direction,0.2545
Speciation_gene_pairs_same_direction,0.2885
Speciation_gene_pairs_same_direction,0.3244
Speciation_gene_pairs_same_direction,0.1748
Speciation_gene_pairs_same_direction,0.2631
Speciation_gene_pairs_same_direction,0.184
Speciation_gene_pairs_same_direction,0.36
Speciation_gene_pairs_same_direction,0.0955
Speciation_gene_pairs_same_direction,0.2043
Speciation_gene_pairs_same_direction,0.1447
Speciation_gene_pairs_same_direction,0.2356
Speciation_gene_pairs_same_direction,0.3184
Speciation_gene_pairs_same_direction,0.0787
Speciation_gene_pairs_same_direction,0.3669
Speciation_gene_pairs_same_direction,0.3978
Speciation_gene_pairs_same_direction,0.084
Speciation_gene_pairs_same_direction,0.1711
Speciation_gene_pairs_same_direction,0.1197
Speciation_gene_pairs_same_direction,0.1397
Speciation_gene_pairs_same_direction,0.1403
Speciation_gene_pairs_same_direction,0.2046
Speciation_gene_pairs_same_direction,0.2117
Speciation_gene_pairs_same_direction,0.1197
Speciation_gene_pairs_same_direction,0.1071
